number,partner,compliance,alternative,signature,alternative_other_MLI,comments,iso3c,year,minimum_standard,type,inc_frame_member
13,Bulgaria,No,NA,Yes,NA,,AUT,2018,NA,NA,yes
14,Canada,No,NA,Yes,NA,,AUT,2018,NA,NA,yes
15,Chile,No,NA,Yes,NA,,AUT,2018,NA,NA,yes
16,China (People's Republic of),No,NA,Yes,NA,,AUT,2018,NA,NA,yes
17,Chinese Taipei*,No,NA,No,NA,,AUT,2018,NA,NA,no
18,Croatia,No,NA,Yes,NA,,AUT,2018,NA,NA,yes
19,Cuba*,No,NA,No,NA,,AUT,2018,NA,NA,no
20,Cyprus*,No,NA,Yes,NA,,AUT,2018,NA,NA,no
21,Czech Republic,No,NA,Yes,NA,,AUT,2018,NA,NA,yes
22,Denmark,No,NA,No,,,AUT,2018,,NA,yes
23,Egypt,No,NA,No,,,AUT,2018,,NA,yes
24,Estonia,No,NA,Yes,NA,,AUT,2018,NA,NA,yes
25,Finland,No,NA,Yes,NA,,AUT,2018,NA,NA,yes
26,France,No,NA,Yes,NA,,AUT,2018,NA,NA,yes
27,Georgia,No,NA,No,,,AUT,2018,,NA,yes
28,Germany,No,NA,Yes,NA,,AUT,2018,NA,NA,yes
29,Greece,No,NA,Yes,NA,,AUT,2018,NA,NA,yes
30,Hong Kong (China),No,NA,Yes,NA,,AUT,2018,NA,NA,yes
31,Hungary,No,NA,Yes,NA,,AUT,2018,NA,NA,yes
32,Iceland,No,NA,No,,,AUT,2018,,NA,yes
33,India,No,NA,Yes,NA,,AUT,2018,NA,NA,yes
34,Indonesia,No,NA,No,,,AUT,2018,,NA,yes
35,Iran*,No,NA,No,NA,,AUT,2018,NA,NA,no
36,Ireland,No,NA,Yes,NA,,AUT,2018,NA,NA,yes
37,Israel,No,NA,Yes,NA,,AUT,2018,NA,NA,yes
38,Italy,No,NA,Yes,NA,,AUT,2018,NA,NA,yes
39,Japan,No,NA,Yes,PPT and LOB,,AUT,2018,PPT and LOB,NA,yes
40,Kazakhstan,No,NA,No,NA,,AUT,2018,NA,NA,yes
41,Korea,No,NA,No,NA,,AUT,2018,NA,NA,yes
42,Kuwait*,No,NA,No,NA,,AUT,2018,NA,NA,no
43,Kyrgyzstan*,No,NA,No,NA,,AUT,2018,NA,NA,no
44,Latvia,No,NA,Yes,NA,,AUT,2018,NA,NA,yes
45,Libya*,No,NA,No,NA,,AUT,2018,NA,NA,no
46,Liechtenstein,Yes,PPT alone,N/A,NA,,AUT,2018,PPT alone,NA,yes
47,Lithuania,No,NA,Yes,NA,,AUT,2018,NA,NA,yes
48,Luxembourg,No,NA,Yes,NA,,AUT,2018,NA,NA,yes
49,Macedonia*,No,NA,No,NA,,AUT,2018,NA,NA,no
50,Malaysia,No,NA,No,NA,,AUT,2018,NA,NA,yes
51,Malta,No,NA,Yes,NA,,AUT,2018,NA,NA,yes
52,Mexico,No,NA,Yes,NA,,AUT,2018,NA,NA,yes
53,Moldova*,No,NA,No,NA,,AUT,2018,NA,NA,no
54,Mongolia,No,NA,No,NA,,AUT,2018,NA,NA,yes
55,Montenegro*,No,NA,No,NA,,AUT,2018,NA,NA,no
56,Morocco*,No,NA,No,NA,,AUT,2018,NA,NA,no
57,Nepal*,No,NA,No,NA,,AUT,2018,NA,NA,no
58,Netherlands,No,NA,Yes,NA,,AUT,2018,NA,NA,yes
59,New Zealand,No,NA,No,NA,,AUT,2018,NA,NA,yes
60,Norway,No,NA,No,NA,,AUT,2018,NA,NA,yes
61,Pakistan,No,NA,Yes,NA,,AUT,2018,NA,NA,yes
62,Philippines*,No,NA,No,NA,,AUT,2018,NA,NA,no
63,Poland,No,NA,Yes,NA,,AUT,2018,NA,NA,yes
64,Portugal,No,NA,Yes,NA,,AUT,2018,NA,NA,yes
65,Qatar,No,NA,No,NA,,AUT,2018,NA,NA,yes
66,Romania,No,NA,Yes,NA,,AUT,2018,NA,NA,yes
67,Russia,No,NA,Yes,NA,,AUT,2018,NA,NA,yes
68,San Marino,No,NA,No,NA,,AUT,2018,NA,NA,yes
69,Saudi Arabia,No,NA,No,NA,,AUT,2018,NA,NA,yes
70,Serbia,No,NA,Yes,NA,,AUT,2018,NA,NA,yes
71,Singapore,No,NA,Yes,NA,,AUT,2018,NA,NA,yes
72,Slovak Republic,No,NA,Yes,NA,,AUT,2018,NA,NA,yes
73,Slovenia,No,NA,Yes,NA,,AUT,2018,NA,NA,yes
74,South Africa,No,NA,Yes,NA,,AUT,2018,NA,NA,yes
75,Spain,No,NA,Yes,NA,,AUT,2018,NA,NA,yes
76,Sweden,No,NA,No,NA,,AUT,2018,NA,NA,yes
77,Switzerland,No,NA,Yes,NA,,AUT,2018,NA,NA,yes
78,Syrian Arab Republic*,No,NA,No,NA,,AUT,2018,NA,NA,no
79,Tajikistan*,No,NA,No,NA,,AUT,2018,NA,NA,no
80,Thailand,No,NA,No,NA,,AUT,2018,NA,NA,yes
81,Tunisia,No,NA,No,NA,,AUT,2018,NA,NA,yes
82,Turkey,No,NA,Yes,NA,,AUT,2018,NA,NA,yes
83,Turkmenistan*,No,NA,No,NA,,AUT,2018,NA,NA,no
84,Ukraine,No,NA,No,NA,,AUT,2018,NA,NA,yes
85,United Arab Emirates,No,NA,No,NA,,AUT,2018,NA,NA,yes
86,United Kingdom,No,NA,No,NA,,AUT,2018,NA,NA,yes
87,United States,No,NA,No,NA,,AUT,2018,NA,NA,yes
88,Uzbekistan*,No,NA,No,NA,,AUT,2018,NA,NA,no
89,Venezuela*,No,NA,No,NA,,AUT,2018,NA,NA,no
90,Viet Nam,No,NA,No,NA,,AUT,2018,NA,NA,yes
1,Algeria*,No,NA,No,NA,,BHR,2018,NA,NA,no
2,Austria,No,NA,No,NA,,BHR,2018,NA,NA,yes
3,Barbados,No,NA,No,NA,,BHR,2018,NA,NA,yes
4,Bangladesh*,No,NA,No,NA,,BHR,2018,NA,NA,no
5,Belarus*,No,NA,No,NA,,BHR,2018,NA,NA,no
6,Belgium,No,NA,No,NA,,BHR,2018,NA,NA,yes
7,Bermuda,No,NA,No,NA,,BHR,2018,NA,NA,yes
8,Brunei Darussalam,No,NA,No,NA,,BHR,2018,NA,NA,yes
9,Bulgaria,No,NA,No,NA,,BHR,2018,NA,NA,yes
10,China (People's Republic of),No,NA,No,NA,,BHR,2018,NA,NA,yes
11,Cyprus*,No,NA,No,NA,,BHR,2018,NA,NA,no
12,Czech Republic,No,NA,No,NA,,BHR,2018,NA,NA,yes
13,Egypt,No,NA,No,NA,,BHR,2018,NA,NA,yes
14,Estonia,No,NA,No,NA,,BHR,2018,NA,NA,yes
15,France,No,NA,No,NA,,BHR,2018,NA,NA,yes
16,Georgia,No,NA,No,NA,,BHR,2018,NA,NA,yes
17,Hungary,No,NA,No,NA,,BHR,2018,NA,NA,yes
18,Iran*,No,NA,No,NA,,BHR,2018,NA,NA,no
19,Ireland,No,NA,No,NA,,BHR,2018,NA,NA,yes
20,Isle of Man,No,NA,No,NA,,BHR,2018,NA,NA,yes
21,Jordan*,No,NA,No,NA,,BHR,2018,NA,NA,no
22,Korea,No,NA,No,NA,,BHR,2018,NA,NA,yes
23,Lebanon*,No,NA,No,NA,,BHR,2018,NA,NA,no
24,Luxembourg,No,NA,No,NA,,BHR,2018,NA,NA,yes
25,Malaysia,No,NA,No,NA,,BHR,2018,NA,NA,yes
26,Malta,No,NA,No,NA,,BHR,2018,NA,NA,yes
27,Mexico,No,NA,No,NA,,BHR,2018,NA,NA,yes
28,Morocco*,No,NA,No,NA,,BHR,2018,NA,NA,no
29,Netherlands,No,NA,No,NA,,BHR,2018,NA,NA,yes
30,Pakistan,No,NA,No,NA,,BHR,2018,NA,NA,yes
31,Philippines*,No,NA,No,NA,,BHR,2018,NA,NA,no
32,Portugal,No,NA,No,NA,,BHR,2018,NA,NA,yes
33,Seychelles,No,NA,No,NA,,BHR,2018,NA,NA,yes
34,Singapore,No,NA,No,NA,,BHR,2018,NA,NA,yes
35,Sri Lanka,No,NA,No,NA,,BHR,2018,NA,NA,yes
36,Sudan*,No,NA,No,NA,,BHR,2018,NA,NA,no
37,Syrian Arab Republic*,No,NA,No,NA,,BHR,2018,NA,NA,no
38,Tajikistan*,No,NA,No,NA,,BHR,2018,NA,NA,no
39,Thailand,No,NA,No,NA,,BHR,2018,NA,NA,yes
40,Turkey,No,NA,No,NA,,BHR,2018,NA,NA,yes
41,Turkmenistan*,No,NA,No,NA,,BHR,2018,NA,NA,no
42,United Kingdom,No,NA,No,NA,,BHR,2018,NA,NA,yes
43,Uzbekistan*,No,NA,No,NA,,BHR,2018,NA,NA,no
44,Yemen*,No,NA,No,NA,,BHR,2018,NA,NA,no
1,Antigua and Barbuda*,No,NA,Yes,NA,,BRB,2018,NA,NA,no
2,Austria,No,NA,Yes,NA,,BRB,2018,NA,NA,yes
3,Bahrain,No,NA,Yes,NA,,BRB,2018,NA,NA,yes
4,Belize,No,NA,Yes,NA,,BRB,2018,NA,NA,yes
5,Botswana,No,NA,Yes,NA,,BRB,2018,NA,NA,yes
6,Canada,No,NA,Yes,NA,,BRB,2018,NA,NA,yes
7,China (People's Republic of),No,NA,Yes,NA,,BRB,2018,NA,NA,yes
8,Cuba*,No,NA,No,NA,,BRB,2018,NA,NA,no
9,Cyprus*,No,NA,Yes,NA,,BRB,2018,NA,NA,no
10,Czech Republic,No,NA,Yes,NA,,BRB,2018,NA,NA,yes
11,Dominica*,No,NA,Yes,NA,,BRB,2018,NA,NA,no
12,Finland,No,NA,Yes,NA,,BRB,2018,NA,NA,yes
13,Grenada*,No,NA,Yes,NA,,BRB,2018,NA,NA,no
14,Guyana*,No,NA,Yes,NA,,BRB,2018,NA,NA,no
15,Iceland,No,NA,Yes,NA,,BRB,2018,NA,NA,yes
16,Italy,No,NA,Yes,NA,,BRB,2018,NA,NA,yes
17,Jamaica,No,NA,Yes,NA,,BRB,2018,NA,NA,yes
18,Luxembourg,No,NA,Yes,NA,,BRB,2018,NA,NA,yes
19,Malta,No,NA,Yes,NA,,BRB,2018,NA,NA,yes
20,Mauritius,No,NA,Yes,NA,,BRB,2018,NA,NA,yes
21,Mexico,No,NA,Yes,NA,,BRB,2018,NA,NA,yes
22,Netherlands,No,NA,Yes,NA,,BRB,2018,NA,NA,yes
23,Norway,No,NA,Yes,NA,,BRB,2018,NA,NA,yes
24,Panama,No,NA,Yes,NA,,BRB,2018,NA,NA,yes
25,Portugal,No,NA,Yes,NA,,BRB,2018,NA,NA,yes
26,Qatar,No,NA,Yes,NA,,BRB,2018,NA,NA,yes
27,Saint Kitts and Nevis,No,NA,Yes,NA,,BRB,2018,NA,NA,yes
28,Saint Lucia,No,NA,Yes,NA,,BRB,2018,NA,NA,yes
29,Saint Vincent and the Grenadines*,No,NA,Yes,NA,,BRB,2018,NA,NA,no
30,San Marino,No,NA,Yes,NA,,BRB,2018,NA,NA,yes
31,Seychelles,No,NA,Yes,NA,,BRB,2018,NA,NA,yes
32,Singapore,No,NA,Yes,NA,,BRB,2018,NA,NA,yes
33,Spain,No,NA,Yes,NA,,BRB,2018,NA,NA,yes
34,Sweden,No,NA,Yes,NA,,BRB,2018,NA,NA,yes
35,Switzerland,No,NA,Yes,NA,,BRB,2018,NA,NA,yes
36,Trinidad and Tobago,No,NA,Yes,NA,,BRB,2018,NA,NA,yes
37,United Arab Emirates,No,NA,Yes,NA,,BRB,2018,NA,NA,yes
38,United Kingdom,No,NA,Yes,NA,,BRB,2018,NA,NA,yes
39,United States,No,NA,Yes,NA,,BRB,2018,NA,NA,yes
40,Venezuela*,No,NA,Yes,NA,,BRB,2018,NA,NA,no
1,Albania*,No,NA,Yes,NA,,BEL,2018,NA,NA,no
2,Algeria*,No,NA,Yes,NA,,BEL,2018,NA,NA,no
3,Argentina,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
4,Armenia*,No,NA,Yes,NA,,BEL,2018,NA,NA,no
5,Australia,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
6,Austria,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
7,Azerbaijan*,No,NA,Yes,NA,,BEL,2018,NA,NA,no
8,Bahrain,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
9,Bangladesh*,No,NA,Yes,NA,,BEL,2018,NA,NA,no
10,Belarus*,No,NA,Yes,NA,,BEL,2018,NA,NA,no
11,Bosnia and Herzegovina*,No,NA,Yes,NA,,BEL,2018,NA,NA,no
12,Brazil,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
13,Bulgaria,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
14,Canada,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
15,Chile,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
16,China (People's Republic of),No,NA,Yes,NA,,BEL,2018,NA,NA,yes
17,Chinese Taipei*,No,NA,Yes,NA,,BEL,2018,NA,NA,no
18,Congo,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
19,Cote d'Ivoire,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
20,Croatia,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
21,Cyprus*,No,NA,Yes,NA,,BEL,2018,NA,NA,no
22,Czech Republic,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
23,Denmark,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
24,Ecuador*,No,NA,Yes,NA,,BEL,2018,NA,NA,no
25,Egypt,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
26,Estonia,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
27,Finland,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
28,France,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
29,Gabon,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
30,Georgia,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
31,Germany,No,NA,No,,,BEL,2018,,NA,yes
32,Ghana*,No,NA,Yes,NA,,BEL,2018,NA,NA,no
33,Greece,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
34,Hong Kong (China),No,NA,Yes,NA,,BEL,2018,NA,NA,yes
35,Hungary,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
36,Iceland,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
37,India,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
38,Indonesia,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
39,Ireland,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
40,Israel,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
41,Italy,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
42,Japan,No,NA,Yes,PPT and LOB,,BEL,2018,PPT and LOB,NA,yes
43,Kazakhstan,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
44,Korea,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
45,Kosovo*,No,NA,Yes,NA,,BEL,2018,NA,NA,no
46,Kuwait*,No,NA,Yes,NA,,BEL,2018,NA,NA,no
47,Kyrgyzstan*,No,NA,Yes,NA,,BEL,2018,NA,NA,no
48,Latvia,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
49,Lithuania,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
50,Luxembourg,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
51,Macedonia*,No,NA,Yes,NA,,BEL,2018,NA,NA,no
52,Malaysia,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
53,Malta,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
54,Mauritius,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
55,Mexico,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
56,Moldova*,No,NA,Yes,NA,,BEL,2018,NA,NA,no
57,Mongolia,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
58,Montenegro*,No,NA,Yes,NA,,BEL,2018,NA,NA,no
59,Morocco*,No,NA,Yes,NA,,BEL,2018,NA,NA,no
60,Netherlands,No,NA,No,NA,,BEL,2018,NA,NA,yes
61,New Zealand,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
62,Nigeria,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
63,Norway,No,NA,No,NA,,BEL,2018,NA,NA,yes
64,Pakistan,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
65,Philippines*,No,NA,Yes,NA,,BEL,2018,NA,NA,no
66,Poland,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
67,Portugal,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
68,Romania,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
69,Russia,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
70,Rwanda*,No,NA,Yes,NA,,BEL,2018,NA,NA,no
71,San Marino,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
72,Senegal,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
73,Serbia,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
74,Seychelles,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
75,Singapore,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
76,Slovak Republic,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
77,Slovenia,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
78,South Africa,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
79,Spain,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
80,Sri Lanka,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
81,Sweden,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
82,Switzerland,No,NA,No,NA,,BEL,2018,NA,NA,yes
83,Tajikistan*,No,NA,Yes,NA,,BEL,2018,NA,NA,no
84,Thailand,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
85,Tunisia,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
86,Turkey,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
87,Turkmenistan*,No,NA,Yes,NA,,BEL,2018,NA,NA,no
88,Ukraine,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
89,United Arab Emirates,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
90,United Kingdom,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
91,United States,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
92,Uruguay,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
93,Uzbekistan*,No,NA,Yes,NA,,BEL,2018,NA,NA,no
94,Venezuela*,No,NA,Yes,NA,,BEL,2018,NA,NA,no
95,Viet Nam,No,NA,Yes,NA,,BEL,2018,NA,NA,yes
1,Antigua and Barbuda*,No,NA,No,NA,,BLZ,2018,NA,NA,no
2,Austria,No,NA,No,NA,,BLZ,2018,NA,NA,yes
3,Barbados,No,NA,No,NA,,BLZ,2018,NA,NA,yes
4,Dominica*,No,NA,No,NA,,BLZ,2018,NA,NA,no
5,Grenada*,No,NA,No,NA,,BLZ,2018,NA,NA,no
6,Guyana*,No,NA,No,NA,,BLZ,2018,NA,NA,no
7,Jamaica,No,NA,No,NA,,BLZ,2018,NA,NA,yes
8,Saint Kitts and Nevis,No,NA,No,NA,,BLZ,2018,NA,NA,yes
9,Saint Lucia,No,NA,No,NA,,BLZ,2018,NA,NA,yes
10,Saint Vincent and the Grenadines*,No,NA,No,NA,,BLZ,2018,NA,NA,no
11,Switzerland,No,NA,No,NA,,BLZ,2018,NA,NA,yes
12,Trinidad and Tobago,No,NA,No,NA,,BLZ,2018,NA,NA,yes
13,United Kingdom,No,NA,No,NA,,BLZ,2018,NA,NA,yes
1,France,No,NA,No,NA,,BEN,2018,NA,NA,yes
2,Norway,No,NA,No,NA,,BEN,2018,NA,NA,yes
3,Burkina Faso,No,NA,No,NA,,BEN,2018,NA,NA,yes
4,Côte d’Ivoire,No,NA,No,NA,,BEN,2018,NA,NA,yes
5,Guinea- Bissau*,No,NA,No,NA,,BEN,2018,NA,NA,no
6,Togo*,No,NA,No,NA,,BEN,2018,NA,NA,no
7,Mali*,No,NA,No,NA,,BEN,2018,NA,NA,no
8,Niger*,No,NA,No,NA,,BEN,2018,NA,NA,no
9,Senegal,No,NA,No,NA,,BEN,2018,NA,NA,yes
1,Bahrain,No,NA,No,NA,,BMU,2018,NA,NA,yes
2,Seychelles,No,NA,No,NA,,BMU,2018,NA,NA,yes
1,Barbados,No,NA,No,NA,,BWA,2018,NA,NA,yes
2,France,No,NA,No,NA,,BWA,2018,NA,NA,yes
3,India,No,NA,No,NA,,BWA,2018,NA,NA,yes
4,Ireland,No,NA,No,NA,,BWA,2018,NA,NA,yes
5,Mauritius,No,NA,No,NA,,BWA,2018,NA,NA,yes
6,Mozambique*,No,NA,No,NA,,BWA,2018,NA,NA,no
7,Namibia*,No,NA,No,NA,,BWA,2018,NA,NA,no
8,Russia,No,NA,No,NA,,BWA,2018,NA,NA,yes
9,Seychelles,No,NA,No,NA,,BWA,2018,NA,NA,yes
10,South Africa,No,NA,No,NA,,BWA,2018,NA,NA,yes
11,Eswatini*,No,NA,No,NA,,BWA,2018,NA,NA,no
12,Sweden,No,NA,No,NA,,BWA,2018,NA,NA,yes
13,United Kingdom,No,NA,No,NA,,BWA,2018,NA,NA,yes
14,Zambia,No,NA,No,NA,,BWA,2018,NA,NA,yes
15,Zimbabwe*,No,NA,No,NA,,BWA,2018,NA,NA,no
1,Argentina,No,NA,Yes,PPT and LOB,,BRA,2018,PPT and LOB,NA,yes
2,Austria,No,NA,No,NA,,BRA,2018,NA,NA,yes
3,Belgium,No,NA,No,NA,,BRA,2018,NA,NA,yes
4,Canada,No,NA,No,NA,,BRA,2018,NA,NA,yes
5,Chile,No,NA,No,NA,,BRA,2018,NA,NA,yes
6,China (People's Republic of),No,NA,No,NA,,BRA,2018,NA,NA,yes
