text,iso3c,year
No jurisdiction has raised any concerns about their agreements with Italy.,ITA,2018
No jurisdiction has raised any concerns about their agreements with Jamaica.,JAM,2018
No jurisdiction has raised any concerns about their agreements with Japan.,JPN,2018
No jurisdiction has raised any concerns about their agreements with Jersey.,JEY,2018
No jurisdiction has raised any concerns about their agreements with Kazakhstan.,KAZ,2018
No jurisdiction has raised any concerns about their agreements with Kenya.,KEN,2018
No jurisdiction has raised any concerns about their agreements with Korea.,KOR,2018
No jurisdiction has raised any concerns about their agreements with Latvia.,LVA,2018
No jurisdiction has raised any concerns about their agreements with Liberia.,LBR,2018
No jurisdiction has raised any concerns about their agreements with Liechtenstein.,LIE,2018
No jurisdiction has raised any concerns about their agreements with Lithuania.,LTU,2018
No jurisdiction has raised any concerns about their agreements with Luxembourg.,LUX,2018
No jurisdiction has raised any concerns about their agreements with Macau (China).,MAC,2018
No jurisdiction has raised any concerns about their agreements with Malaysia.,MYS,2018
No jurisdiction has raised any concerns about the Maldives.,MDV,2018
No jurisdiction has raised any concerns about their agreements with Malta.,MLT,2018
"By 30 June 2018, Mauritius was engaged in bilateral negotiations to implement the minimum standard in a number of agreements. Mauritius opted on 10 October to submit a revised MLI position expanding the list of agreements to be covered under the MLI from 23 to 41 agreements. The Secretariat is not aware of any implementation issues related to agreements with Mauritius.",MUS,2018
No jurisdiction has raised any concerns about their agreements with Mexico.,MEX,2018
No jurisdiction has raised any concerns about their agreements with Monaco.,MCO,2018
No jurisdiction has raised any concerns about their agreements with Mongolia.,MNG,2018
No jurisdiction has raised any concerns about their agreements with Montserrat.,MSR,2018
No jurisdiction has raised any concerns about their agreements with the Netherlands.,NLD,2018
No jurisdiction has raised any concerns about their agreements with New Zealand.,NZL,2018
No jurisdiction has raised any concerns about their agreements with Nigeria.,NGA,2018
No jurisdiction has raised any concerns about their agreements with Norway.,NOR,2018
No jurisdiction has raised any concerns about their agreements with Oman.,OMN,2018
No jurisdiction has raised any concerns about their agreements with Pakistan.,PAK,2018
No jurisdiction has raised any concerns about their agreements with Panama.,PAN,2018
No jurisdiction has raised any concerns about their agreements with Papua New Guinea.,PNG,2018
No jurisdiction has raised any concerns about their agreements with Paraguay.,PRY,2018
No jurisdiction has raised any concerns about their agreements with Peru.,PER,2018
No jurisdiction has raised any concerns about their agreements with Poland.,POL,2018
No jurisdiction has raised any concerns about their agreements with Portugal.,PRT,2018
No jurisdiction has raised any concerns about their agreements with Qatar.,QAT,2018
No jurisdiction has raised any concerns about their agreements with Romania.,ROU,2018
No jurisdiction has raised any concerns about their agreements with Russia.,RUS,2018
No jurisdiction has raised any concerns about their agreements with Saint Kitts and Nevis.,KNA,2018
No jurisdiction has raised any concerns about their agreements with San Marino.,SMR,2018
No jurisdiction has raised any concerns about their agreements with Saudi Arabia.,SAU,2018
No jurisdiction has raised any concerns about their agreements with Senegal.,SEN,2018
No jurisdiction has raised any concerns about their agreements with Serbia.,SRB,2018
No jurisdiction has raised any concerns about their agreements with the Seychelles.,SYC,2018
No jurisdiction has raised any concerns about their agreements with Sierra Leone.,SLE,2018
No jurisdiction has raised any concerns about their agreements with Singapore.,SGP,2018
No jurisdiction has raised any concerns about their agreements with the Slovak Republic.,SVK,2018
No jurisdiction has raised any concerns about their agreements with Slovenia.,SVN,2018
No jurisdiction has raised any concerns about their agreements with South Africa.,ZAF,2018
No jurisdiction has raised any concerns about their agreements with Spain.,ESP,2018
No jurisdiction has raised any concerns about their agreements with Sri Lanka.,LKA,2018
No jurisdiction has raised any concerns about their agreements with Saint Lucia.,LCA,2018
No jurisdiction has raised any concerns about their agreements with Sweden.,SWE,2018
No jurisdiction has raised any concerns about their agreements with Switzerland.,CHE,2018
No jurisdiction has raised any concerns about their agreements with Thailand.,THA,2018
No jurisdiction has raised any concerns about their agreements with Trinidad and Tobago.,TTO,2018
No jurisdiction has raised any concerns about their agreements with Tunisia.,TUN,2018
No jurisdiction has raised any concerns about their agreements with Turkey.,TUR,2018
No jurisdiction has raised any concerns about the Turks and Caicos Islands.,TCA,2018
No jurisdiction has raised any concerns about their agreements with Ukraine.,UKR,2018
No jurisdiction has raised any concerns about their agreements with the United Arab Emirates.,ARE,2018
No jurisdiction has raised any concerns about their agreements with the United Kingdom.,GBR,2018
No jurisdiction has raised any concerns about their agreements with the United States.,USA,2018
No jurisdiction has raised any concerns about their agreements with Uruguay.,URY,2018
No jurisdiction has raised any concerns about their agreements with Viet Nam.,VNM,2018
No jurisdiction has raised any concerns about their agreements with Zambia.,ZMB,2018
No jurisdiction has raised any concerns about their agreements with Andorra.,AND,2019
No jurisdiction has raised any concerns about Angola.,AGO,2019
No jurisdiction has raised any concerns about the agreement with Anguilla. Anguilla is encouraged to implement the minimum standard in its agreement.,AIA,2019
Antigua and Barbuda is encouraged to implement the minimum standard in its agreements. Antigua and Barbuda is encouraged to bring the CARICOM Agreement up to date by commencing talks among all the treaty partners.3,ATG,2019
No jurisdiction has raised any concerns about their agreements with Argentina.,ARG,2019
No jurisdiction has raised any concerns about their agreements with Armenia.,ARM,2019
No jurisdiction has raised any concerns about the agreement with Aruba. Aruba is encouraged to implement the minimum standard in its agreement.,ABW,2019
No jurisdiction has raised any concerns about their agreements with Australia.,AUS,2019
No jurisdiction has raised any concerns about their agreements with Austria.,AUT,2019
No jurisdiction has raised any concerns about the Bahamas.,BHS,2019
No jurisdiction has raised any concerns about their agreements with Bahrain. Bahrain is encouraged to implement the minimum standard in its agreements.,BHR,2019
Barbados is encouraged to bring the CARICOM Agreement up to date by commencing talks among all the treaty partners.14,BRB,2019
No jurisdiction has raised any concerns about their agreements with Belgium.,BEL,2019
Belize is encouraged to bring the CARICOM Agreement up to date by commencing talks among all the treaty partners.18,BLZ,2019
No jurisdiction has raised any concerns about their agreements with Benin. Benin is encouraged to implement the minimum standard in its agreements.,BEN,2019
No jurisdiction has raised any concerns about their agreements with Bermuda. Bermuda is encouraged to implement the minimum standard in its agreements.,BMU,2019
No jurisdiction has raised any concerns about their agreements with Botswana. Botswana is encouraged to implement the minimum standard in its agreements.,BWA,2019
No jurisdiction has raised any concerns about their agreements with Brazil.,BRA,2019
No jurisdiction has raised any concerns about the agreement with the British Virgin Islands. The British Virgin Islands is encouraged to implement the minimum standard in its agreement.,VGB,2019
No jurisdiction has raised any concerns about their agreements with Brunei Darussalam. Brunei Darussalam is encouraged to implement the minimum standard in its agreements.,BRN,2019
No jurisdiction has raised any concerns about their agreements with Bulgaria.,BGR,2019
No jurisdiction has raised any concerns about their agreements with Burkina Faso.,BFA,2019
No jurisdiction has raised any concerns about their agreements with Cabo Verde. Cabo Verde is encouraged to implement the minimum standard in its agreements.,CPV,2019
No jurisdiction has raised any concerns about their agreements with Cameroon.,CMR,2019
No jurisdiction has raised any concerns about their agreements with Canada.,CAN,2019
No jurisdiction has raised any concerns about the Cayman Islands.,CYM,2019
No jurisdiction has raised any concerns about their agreements with Chile.,CHL,2019
No jurisdiction has raised any concerns about their agreements with China.,CHN,2019
No jurisdiction has raised any concerns about their agreements with Colombia. Colombia indicated that it encountered difficulties in the renegotiation of the Andean Community Agreement.35,COL,2019
No jurisdiction has raised any concerns about their agreements with Congo. Congo is encouraged to implement the minimum standard in its agreements.,COG,2019
No jurisdiction has raised any concerns about their agreements with Costa Rica.,CRI,2019
No jurisdiction has raised any concerns about the Cook Islands.,COK,2019
No jurisdiction has raised any concerns about their agreements with Côte d'Ivoire.,CIV,2019
No jurisdiction has raised any concerns about their agreements with Croatia.,HRV,2019
No jurisdiction has raised any concerns about their agreements with Curacao.,CUW,2019
No jurisdiction has raised any concerns about their agreements with the Czech Republic.,CZE,2019
No jurisdiction has raised any concerns about their agreements with the Democratic Republic of the Congo. The Democratic Republic of the Congo is encouraged to implement the minimum standard in its agreements.,COD,2019
No jurisdiction has raised any concerns about their agreements with Denmark.,DNK,2019
No jurisdiction has raised any concerns about Djibouti.,DJI,2019
Dominica is encouraged to implement the minimum standard in its agreements. Dominica is encouraged to bring the CARICOM Agreement up to date by commencing talks among all the treaty partners.48,DMA,2019
No jurisdiction has raised any concerns about their agreements with the Dominican Republic. Dominican Republic is encouraged to implement the minimum standard in its agreements.,DOM,2019
No jurisdiction has raised any concerns about their agreements with Egypt.,EGY,2019
No jurisdiction has raised any concerns about their agreements with Estonia.,EST,2019
No jurisdiction has raised any concerns about their agreements with the Faroe Islands.,FRO,2019
No jurisdiction has raised any concerns about their agreements with Finland.,FIN,2019
No jurisdiction has raised any concerns about their agreements with France.,FRA,2019
No jurisdiction has raised any concerns about their agreements with Gabon.,GAB,2019
No jurisdiction has raised any concerns about their agreements with Georgia.,GEO,2019
No jurisdiction has raised any concerns about their agreements with Germany.,DEU,2019
No jurisdiction has raised any concerns about their agreements with Greece.,GRC,2019
No jurisdiction has raised any concerns about their agreements with Greenland.,GRL,2019
Grenada is encouraged to implement the minimum standard in its agreements. Grenada is encouraged to bring the CARICOM Agreement up to date by commencing talks among all the treaty partners.64,GRD,2019
No jurisdiction has raised any concerns about their agreements with Guernsey.,GGY,2019
No jurisdiction has raised any concerns about Haiti.,HTI,2019
No jurisdiction has raised any concerns about their agreements with Hong Kong (China).,HKG,2019
No jurisdiction has raised any concerns about their agreements with Hungary.,HUN,2019
No jurisdiction has raised any concerns about their agreements with Iceland.,ISL,2019
No jurisdiction has raised any concerns about their agreements with India.,IND,2019
No jurisdiction has raised any concerns about their agreements with Indonesia.,IDN,2019
No jurisdiction has raised any concerns about their agreements with Ireland.,IRL,2019
No jurisdiction has raised any concerns about their agreements with the Isle of Man.,IMN,2019
No jurisdiction has raised any concerns about their agreements with Israel.,ISR,2019
No jurisdiction has raised any concerns about their agreements with Italy.,ITA,2019
Jamaica is encouraged to bring the CARICOM Agreement up to date by commencing talks among all the treaty partners.83,JAM,2019
No jurisdiction has raised any concerns about their agreements with Japan.,JPN,2019
No jurisdiction has raised any concerns about their agreements with Jersey.,JEY,2019
No jurisdiction has raised any concerns about their agreements with Kazakhstan.,KAZ,2019
No jurisdiction has raised any concerns about their agreements with Kenya. Kenya is encouraged to implement the minimum standard in its agreements.,KEN,2019
No jurisdiction has raised any concerns about their agreements with Korea.,KOR,2019
No jurisdiction has raised any concerns about their agreements with Latvia.,LVA,2019
No jurisdiction has raised any concerns about their agreements with Liberia. Liberia is encouraged to implement the minimum standard in its agreement.,LBR,2019
No jurisdiction has raised any concerns about their agreements with Liechtenstein.,LIE,2019
No jurisdiction has raised any concerns about their agreements with Lithuania.,LTU,2019
No jurisdiction has raised any concerns about their agreements with Luxembourg.,LUX,2019
No jurisdiction has raised any concerns about their agreements with Macau (China). Macau (China) is encouraged to implement the minimum standard in its agreements.,MAC,2019
No jurisdiction has raised any concerns about their agreements with Malaysia.,MYS,2019
No jurisdiction has raised any concerns about the Maldives. The Maldives is encouraged to implement the minimum standard in its agreement.,MDV,2019
No jurisdiction has raised any concerns about their agreements with Malta.,MLT,2019
No jurisdiction has raised any concerns about their agreements with Mauritius.,MUS,2019
No jurisdiction has raised any concerns about their agreements with Mexico.,MEX,2019
No jurisdiction has raised any concerns about their agreements with Monaco.,MCO,2019
No jurisdiction has raised any concerns about their agreements with Mongolia. Mongolia is encouraged to implement the minimum standard in its agreements.,MNG,2019
No jurisdiction has raised any concerns about their agreements with Montserrat. Montserrat is encouraged to implement the minimum standard in its agreements.,MSR,2019
No jurisdiction has raised any concerns about their agreements with Morocco.,MAR,2019
No jurisdiction has raised any concerns about their agreements with the Netherlands.,NLD,2019
No jurisdiction has raised any concerns about their agreements with New Zealand.,NZL,2019
No jurisdiction has raised any concerns about their agreements with Nigeria.,NGA,2019
No jurisdiction has raised any concerns about the Republic of North Macedonia. The Republic of North Macedonia is encouraged to implement the minimum standard in its agreements.,MKD,2019
No jurisdiction has raised any concerns about their agreements with Norway.,NOR,2019
No jurisdiction has raised any concerns about their agreements with Oman. Oman is encouraged to implement the minimum standard in its agreements.,OMN,2019
No jurisdiction has raised any concerns about their agreements with Pakistan.,PAK,2019
No jurisdiction has raised any concerns about their agreements with Panama.,PAN,2019
No jurisdiction has raised any concerns about their agreements with Papua New Guinea.,PNG,2019
No jurisdiction has raised any concerns about their agreements with Paraguay.,PRY,2019
No jurisdiction has raised any concerns about their agreements with Peru.,PER,2019
No jurisdiction has raised any concerns about their agreements with Poland.,POL,2019
No jurisdiction has raised any concerns about their agreements with Portugal.,PRT,2019
No jurisdiction has raised any concerns about their agreements with Qatar.,QAT,2019
No jurisdiction has raised any concerns about their agreements with Romania.,ROU,2019
No jurisdiction has raised any concerns about their agreements with the Russian Federation.,RUS,2019
Saint Kitts and Nevis is encouraged to implement the minimum standard in its agreements. Saint Kitts and Nevis is encouraged to bring the CARICOM Agreement up to date by commencing talks among all the treaty partners.130,KNA,2019
Saint Lucia is encouraged to implement the minimum standard in its agreements. Saint Lucia is encouraged to bring the CARICOM Agreement up to date by commencing talks among all the treaty partners.132,LCA,2019
Saint Vincent and the Grenadines is encouraged to implement the minimum standard in its agreements. Saint Vincent and the Grenadines is encouraged to bring the CARICOM Agreement up to date by commencing talks among all the treaty partners. 134,VCT,2019
No jurisdiction has raised any concerns about their agreements with San Marino.,SMR,2019
No jurisdiction has raised any concerns about their agreements with Saudi Arabia.,SAU,2019
No jurisdiction has raised any concerns about their agreements with Senegal. Senegal initiated the process to terminate its agreement with Mauritius.,SEN,2019
No jurisdiction has raised any concerns about their agreements with Serbia.,SRB,2019
No jurisdiction has raised any concerns about their agreements with the Seychelles.,SYC,2019
No jurisdiction has raised any concerns about their agreements with Sierra Leone. Sierra Leone is encouraged to implement the minimum standard in its agreements.,SLE,2019
No jurisdiction has raised any concerns about their agreements with Singapore.,SGP,2019
No jurisdiction has raised any concerns about their agreements with the Slovak Republic.,SVK,2019
No jurisdiction has raised any concerns about their agreements with Slovenia.,SVN,2019
No jurisdiction has raised any concerns about their agreements with South Africa.,ZAF,2019
No jurisdiction has raised any concerns about their agreements with Spain.,ESP,2019
No jurisdiction has raised any concerns about their agreements with Sri Lanka. Sri Lanka is encouraged to implement the minimum standard in its agreements.,LKA,2019
No jurisdiction has raised any concerns about their agreements with Sweden.,SWE,2019
No jurisdiction has raised any concerns about their agreements with Switzerland.,CHE,2019
No jurisdiction has raised any concerns about their agreements with Thailand. Thailand is encouraged to implement the minimum standard in its agreements.,THA,2019
Trinidad and Tobago is encouraged to implement the minimum standard in its agreements. Trinidad and Tobago is encouraged to bring the CARICOM Agreement up to date by commencing talks among all the treaty partners.157,TTO,2019
No jurisdiction has raised any concerns about their agreements with Tunisia.,TUN,2019
No jurisdiction has raised any concerns about the Turks and Caicos Islands.,TCA,2019
No jurisdiction has raised any concerns about their agreements with Turkey.,TUR,2019
No jurisdiction has raised any concerns about their agreements with Ukraine.,UKR,2019
No jurisdiction has raised any concerns about their agreements with the United Arab Emirates.,ARE,2019
No jurisdiction has raised any concerns about their agreements with the United Kingdom.,GBR,2019
No jurisdiction has raised any concerns about their agreements with the United States.,USA,2019
No jurisdiction has raised any concerns about their agreements with Uruguay.,URY,2019
No jurisdiction has raised any concerns about their agreements with Viet Nam. Viet Nam is encouraged to implement the minimum standard in its agreements.,VNM,2019
No jurisdiction has raised any concerns about their agreements with Zambia.,ZMB,2019
"As mentioned above, Albania has not listed its agreement with Saudi Arabia under the MLI. Listing the agreement under the MLI or entering into bilateral renegotiations to implement the minimum standard would ensure that the minimum standard could be implemented in that non-covered agreement.",ALB,2020
Andorra’s listed agreements under the MLI will start to be compliant after Andorra’s ratification of the MLI. Andorra is encouraged to ratify the MLI as soon as possible.,AND,2020
No jurisdiction has raised any concerns about Angola.,AGO,2020
"As Anguilla has not joined the MLI or implemented anti-treaty-shopping measures in its agreement, the Secretariat will offer its support to design a plan for the implementation of the minimum standard to strengthen its treaty network.",AIA,2020
"As Antigua and Barbuda has not signed the MLI or implemented anti-treaty-shopping measures in its agreements, the Secretariat will offer its support to design a plan for the implementation of the minimum standard to strengthen its network of agreements. Antigua and Barbuda is encouraged to bring the CARICOM Agreement up to date by commencing talks among all the treaty partners.5",ATG,2020
Argentina’s listed agreements under the MLI will start to be compliant after Argentina’s ratification of the MLI. Argentina is encouraged to ratify the MLI as soon as possible.,ARG,2020
"Armenia’s listed agreements under the MLI will start to be compliant after Armenia’s ratification of the MLI. Armenia is encouraged to ratify the MLI as soon as possible. As mentioned above, Armenia has not listed its agreements with Denmark and Israel under the MLI. Listing the agreements under the MLI or entering into bilateral renegotiations to implement the minimum standard would ensure that the minimum standard could be implemented in those non-covered agreements.",ARM,2020
"As Aruba has not joined the MLI or implemented anti-treaty-shopping measures in its agreements, the Secretariat will offer its support to design a plan for the implementation of the minimum standard to strengthen its network of agreements.",ABW,2020
No jurisdiction has raised any concerns about their agreements with Australia.,AUS,2020
"As mentioned above, Austria has not listed its agreements with Albania, Armenia, Barbados, Belize, Bosnia-Herzegovina, Denmark, Georgia, Iceland, Kazakhstan, Malaysia, Mongolia, Montenegro, Morocco, North Macedonia, Norway, San Marino, Saudi Arabia, Sweden, Thailand, Tunisia and Viet Nam under the MLI. Listing the agreements under the MLI or entering into bilateral renegotiations to implement the minimum standard would ensure that the minimum standard could be implemented in those non-covered agreements.",AUT,2020
No jurisdiction has raised any concerns about the Bahamas.,BHS,2020
Bahrain’s listed agreements under the MLI will start to be compliant after Bahrain’s ratification of the MLI. Bahrain is encouraged to ratify the MLI as soon as possible.,BHR,2020
No jurisdiction has raised any concerns about their agreements with Barbados. Barbados is encouraged to bring the CARICOM Agreement up to date by commencing talks among all the treaty partners.19,BRB,2020
No jurisdiction has raised any concerns about their agreements with Belgium.,BEL,2020
Belize’s listed agreements under the MLI will start to be compliant after Belize’s ratification of the MLI. Belize is encouraged to ratify the MLI as soon as possible. Belize is encouraged to bring the CARICOM Agreement up to date by commencing talks among all the treaty partners.22,BLZ,2020
"As Benin has not signed the MLI or implemented anti-treaty-shopping measures in its agreements, the Secretariat will offer its support to design a plan for the implementation of the minimum standard to strengthen its network of agreements.",BEN,2020
"As Bermuda has not joined the MLI or implemented anti-treaty-shopping measures in its agreements, the Secretariat will offer its support to design a plan for the implementation of the minimum standard to strengthen its network of agreements.",BMU,2020
No jurisdiction has raised any concerns about their agreements with Bosnia-Herzegovina.,BIH,2020
"As Botswana has not signed the MLI or implemented anti-treaty-shopping measures in its agreements, the Secretariat will offer its support to design a plan for the implementation of the minimum standard to strengthen its network of agreements.",BWA,2020
"As Brazil has not signed the MLI or implemented anti-treaty-shopping measures in its agreements, the Secretariat will offer its support to design a plan for the implementation of the minimum standard to strengthen its network of agreements.",BRA,2020
"As the British Virgin Islands has not joined the MLI or implemented anti-treaty-shopping measures in its agreement, the Secretariat will offer its support to design a plan for the implementation of the minimum standard to strengthen its treaty network.",VGB,2020
"As Brunei Darussalam has not signed the MLI or implemented anti-treaty-shopping measures in its agreements, the Secretariat will offer its support to design a plan for the implementation of the minimum standard to strengthen its network of agreements.",BRN,2020
Bulgaria’s listed agreements under the MLI will start to be compliant after Bulgaria’s ratification of the MLI. Bulgaria indicated that it expected to deposit its instrument of ratification of the MLI early in 2021.,BGR,2020
No jurisdiction has raised any concerns about their agreements with Burkina Faso. Burkina Faso is encouraged to consider entering into negotiations with respect to the UEMOA to implement the minimum standard.,BFA,2020
"As Cabo Verde has not signed the MLI or implemented anti-treaty-shopping measures in its agreements, the Secretariat will offer its support to design a plan for the implementation of the minimum standard to strengthen its network of agreements.",CPV,2020
Cameroon’s listed agreements under the MLI will start to be compliant after Cameroon’s ratification of the MLI. Cameroon is encouraged to ratify the MLI as soon as possible. Cameroon’s National Assembly had approved a draft bill for the ratification of the MLI on 20 November 2020. Cameroon is expected to deposit its instrument of ratification of the MLI early in 2021.,CMR,2020
No jurisdiction has raised any concerns about their agreements with Canada.,CAN,2020
No jurisdiction has raised any concerns about the Cayman Islands.,CYM,2020
No jurisdiction has raised any concerns about their agreements with Chile.,CHL,2020
China’s listed agreements under the MLI will start to be compliant after China’s ratification of the MLI. China is encouraged to ratify the MLI as soon as possible.,CHN,2020
Colombia’s listed agreements under the MLI will start to be compliant after Colombia’s ratification of the MLI. Colombia indicated that it had presented a draft bill for the approval of the MLI to the Congress of the Republic in January 2021. Colombia is encouraged to ratify the MLI as soon as possible.,COL,2020
"As Congo has not signed the MLI or implemented anti-treaty-shopping measures in its agreements, the Secretariat will offer its support to design a plan for the implementation of the minimum standard to strengthen its network of agreements.",COG,2020
No jurisdiction has raised any concerns about the Cook Islands.,COK,2020
No jurisdiction has raised any concerns about the Costa Rica.,CRI,2020
Côte d’Ivoire’s listed agreements under the MLI will start to be compliant after Côte d’Ivoire’s ratification of the MLI. Côte d’Ivoire is encouraged to ratify the MLI as soon as possible. Côte d’Ivoire is encouraged to consider entering into negotiations with respect to the UEMOA.,CIV,2020
Croatia’s listed agreements under the MLI will start to be compliant after Croatia’s ratification of the MLI. Croatia indicated that its Parliament had approved a draft bill for the ratification of the MLI on 26 November 2020 that would soon be promulgated by the Croatian President. Croatia further indicated that it expected to deposit its instrument of ratification of the MLI by the end of 2020 or early in 2021.,HRV,2020
Curaçao is encouraged to consider entering into bilateral renegotiations with respect to its agreement with the Netherlands to implement the minimum standard.,CUW,2020
"As mentioned above, the Czech Republic has not listed its agreements with Albania, Bahrain, Barbados, Bosnia-Herzegovina, Brazil, Estonia, Indonesia, Jordan, Kazakhstan, Malaysia, Mongolia, Montenegro, Morocco, North Macedonia, Panama, Saudi Arabia, Sri Lanka, Thailand, Tunisia, Ukraine, the United Arab Emirates and Viet Nam under the MLI. Listing the agreements under the MLI or entering into bilateral renegotiations to implement the minimum standard would ensure that the minimum standard could be implemented in those non-covered agreements.",CZE,2020
"As the Democratic Republic of the Congo has not signed the MLI or implemented anti-treaty-shopping measures in its agreements, the Secretariat will offer its support to design a plan for the implementation of the minimum standard to strengthen its network of agreements.",COD,2020
"As mentioned above, Denmark has not listed its agreements with Armenia, Germany and Switzerland under the MLI. Listing the agreements under the MLI or entering into bilateral renegotiations to implement the minimum standard would ensure that the minimum standard could be implemented in those non- covered agreements.",DNK,2020
No jurisdiction has raised any concerns about Djibouti.,DJI,2020
"As Dominica has not signed the MLI or implemented anti-treaty-shopping measures in its agreements, the Secretariat will offer its support to design a plan for the implementation of the minimum standard to strengthen its network of agreements. Dominica is encouraged to bring the CARICOM Agreement up to date by commencing talks among all the treaty partners.47",DMA,2020
"As the Dominican Republic has not signed the MLI or implemented anti-treaty-shopping measures in its agreements, the Secretariat will offer its support to design a plan for the implementation of the minimum standard to strengthen its network of agreements.",DOM,2020
No jurisdiction has raised any concerns about their agreements with Egypt.,EGY,2020
Estonia’s listed agreements under the MLI will start to be compliant after Estonia’s ratification of the MLI. Estonia indicated that the amended ratification bill was submitted to its Parliament. Estonia further indicated that it expected to deposit its instrument of ratification of the MLI early in 2021.,EST,2020
"As Eswatini has not signed the MLI or implemented anti-treaty-shopping measures in its agreements, the Secretariat will offer its support to design a plan for the implementation of the minimum standard to strengthen its network of agreements.",SWZ,2020
No jurisdiction has raised any concerns about their agreements with the Faroe Islands.,FRO,2020
No jurisdiction has raised any concerns about their agreements with Finland.,FIN,2020
No jurisdiction has raised any concerns about their agreements with France. France indicated that it had contacted its treaty partners and encouraged them to join the MLI. France also contacted some of its treaty partners that are Signatories to the MLI and encouraged them to list those agreements under the MLI.,FRA,2020
Gabon’s listed agreements under the MLI will start to be compliant after Gabon’s ratification of the MLI. Gabon is encouraged to ratify the MLI as soon as possible.,GAB,2020
"As mentioned above, Georgia has not listed its agreements with Armenia, Austria, Bahrain, Denmark, Egypt, Germany, Japan, Kazakhstan, Qatar, Saudi Arabia, Switzerland, Ukraine and the United Arab Emirates under the MLI. Listing the agreements under the MLI or entering into bilateral renegotiations to implement the minimum standard would ensure that the minimum standard could be implemented in those non-covered agreements. Georgia indicated that it would provide a revised list of agreements under the MLI in 2021 and would list all its agreements in force.",GEO,2020
No jurisdiction has raised any concerns about their agreements with Germany.,DEU,2020
No jurisdiction has raised any concerns about their agreements with Gibraltar.,GIB,2020
Greece’s listed agreements under the MLI will start to be compliant after Greece’s ratification of the MLI. Greece is encouraged to ratify the MLI as soon as possible.,GRC,2020
