TREATYID,REFERENCE,C1LONG,C2LONG,TYPE,SIGNED,EFFECTIVE,STATUS,C1CODE,C1INCOME,C1REGION,C2CODE,C2INCOME,C2REGION,SOURCE,WHTRATES,PE,OTHER,UN,5i,5ii,5iii,5iv,5v,5vi,5vii,5viii,7i,7ii,8i,10i,10ii,10iii,11i,11ii,12i,12ia,12ib,12iv,13i,13ii,14i,16i,21i,25i,27i,29i,paircode,Termination,superseded,ended
458,NA,Austria,Vietnam,Original,2008,2011,In Force,AUT,High income,Europe & Central Asia,VNM,Lower middle income,East Asia & Pacific,0.66,0.5,0.84,0.63,0.76,6,YES,NO,NO,NO,YES,YES,YES,NO,YES,NO,10,25,15,10,10,10,10,10,7.5,YES,YES,YES,NO,YES,NO,NO,NA,AUT - VNM,NA,NA,NA
508,NA,Azerbaijan,Pakistan,Original,1996,1996,In Force,AZE,Upper middle income,Europe & Central Asia,PAK,Lower middle income,South Asia,0.52,0.33,0.97,0.25,0.59,6,YES,6,NO,NO,YES,YES,YES,NO,NO,NO,10,NA,10,10,10,10,10,0,0,YES,NO,YES,NO,NO,NO,NO,NA,AZE - PAK,NA,NA,NA
534,NA,Azerbaijan,Vietnam,Original,2014,2015,In Force,AZE,Upper middle income,Europe & Central Asia,VNM,Lower middle income,East Asia & Pacific,0.74,0.5,0.97,0.75,0.88,6,YES,6,NO,NO,YES,YES,YES,YES,YES,NO,10,NA,10,10,10,10,10,10,10,YES,YES,YES,YES,NO,NO,NO,NA,AZE - VNM,NA,NA,NA
569,NA,Bahrain,Pakistan,Original,2005,2010,Superseded,BHR,High income,Middle East & North Africa,PAK,Lower middle income,South Asia,0.48,0.46,0.47,0.5,0.53,6,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,10,NA,10,10,10,10,10,0,10,NO,NO,YES,YES,YES,NO,NO,NA,BHR - PAK,NA,2019,2019
570,NA,Bahrain,Philippines,Original,2001,2004,In Force,BHR,High income,Middle East & North Africa,PHL,Lower middle income,East Asia & Pacific,0.63,0.43,0.72,0.75,0.71,6,YES,6,NO,NO,YES,NO,NO,YES,YES,YES,10,10,15,10,10,10,15,10,0,YES,NO,YES,NO,YES,NO,NO,NA,BHR - PHL,NA,NA,NA
575,NA,Bahrain,Sri Lanka,Original,2011,2015,In Force,BHR,High income,Middle East & North Africa,LKA,Upper middle income,South Asia,0.73,0.48,0.97,0.75,0.88,6,YES,6,NO,NO,YES,YES,YES,YES,YES,YES,7.5,NA,10,10,10,10,10,10,10,NO,NO,YES,YES,YES,NO,NO,NA,BHR - LKA,NA,NA,NA
585,NA,Bangladesh,Belarus,Original,2013,NA,Not In Force,BGD,Lower middle income,South Asia,BLR,Upper middle income,Europe & Central Asia,0.48,0.36,0.72,0.38,0.53,6,YES,6,NO,NO,YES,NO,NO,NO,NO,YES,10,10,12,7.5,7.5,10,10,10,0,YES,NO,YES,NO,NO,NO,NO,NA,BGD - BLR,NA,NA,NA
586,NA,Bangladesh,Belgium,Original,1990,1997,In Force,BGD,Lower middle income,South Asia,BEL,High income,Europe & Central Asia,0.45,0.5,0.47,0.38,0.41,6,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,15,NA,15,15,15,10,10,10,0,NO,NO,YES,NO,YES,NO,NO,NA,BGD - BEL,NA,NA,NA
587,NA,Bangladesh,Canada,Original,1982,1982,In Force,BGD,Lower middle income,South Asia,CAN,High income,North America,0.45,0.5,0.47,0.38,0.41,6,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,15,NA,15,15,15,10,10,10,0,YES,NO,YES,NO,YES,NO,NO,NA,BGD - CAN,NA,NA,NA
588,NA,Bangladesh,China,Original,1996,1998,In Force,BGD,Lower middle income,South Asia,CHN,Upper middle income,East Asia & Pacific,0.36,0.38,0.47,0.25,0.35,6,YES,6,YES,YES,NO,NO,YES,NO,NO,YES,10,NA,10,10,10,10,10,10,0,NO,NO,YES,NO,NO,NO,NO,NA,BGD - CHN,NA,NA,NA
589,NA,Bangladesh,Denmark,Original,1996,1997,In Force,BGD,Lower middle income,South Asia,DNK,High income,Europe & Central Asia,0.44,0.36,0.47,0.5,0.47,6,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,10,10,15,10,10,10,10,0,0,YES,NO,YES,NO,YES,NO,NO,NA,BGD - DNK,NA,NA,NA
590,NA,Bangladesh,France,Original,1987,1988,In Force,BGD,Lower middle income,South Asia,FRA,High income,Europe & Central Asia,0.46,0.41,0.47,0.5,0.47,6,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,10,10,15,10,10,10,10,10,0,YES,NO,YES,NO,YES,NO,NO,NA,BGD - FRA,NA,NA,NA
591,NA,Bangladesh,Germany,Original,1990,1990,In Force,BGD,Lower middle income,South Asia,DEU,High income,Europe & Central Asia,0.51,0.44,0.47,0.63,0.53,6,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,15,NA,15,10,10,10,10,10,0,YES,YES,YES,NO,YES,NO,NO,NA,BGD - DEU,NA,NA,NA
593,NA,Bangladesh,India,Original,1991,1993,Superseded,BGD,Lower middle income,South Asia,IND,Lower middle income,South Asia,0.42,0.41,0.47,0.38,0.41,6,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,10,25,15,10,10,10,10,10,0,NO,NO,YES,NO,YES,NO,YES,NA,BGD - IND,NA,2012,2012
595,NA,Bangladesh,Indonesia,Original,2003,2007,In Force,BGD,Lower middle income,South Asia,IDN,Lower middle income,East Asia & Pacific,0.5,0.41,0.72,0.38,0.53,6,YES,3,NO,NO,YES,NO,NO,NO,NO,YES,10,10,15,10,10,10,10,10,0,YES,NO,YES,NO,NO,NO,NO,NA,BGD - IDN,NA,NA,NA
596,NA,Bangladesh,Italy,Original,1990,1980,In Force,BGD,Lower middle income,South Asia,ITA,High income,Europe & Central Asia,0.47,0.44,0.47,0.5,0.47,6,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,10,10,15,15,10,10,10,10,0,YES,NO,YES,NO,YES,NO,NO,NA,BGD - ITA,NA,NA,NA
597,NA,Bangladesh,Japan,Original,1991,1992,In Force,BGD,Lower middle income,South Asia,JPN,High income,East Asia & Pacific,0.38,0.41,0.34,0.38,0.35,6,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,10,25,15,10,10,10,10,10,0,NO,NO,YES,NO,YES,NO,NO,NA,BGD - JPN,NA,NA,NA
598,NA,Bangladesh,"Korea, Rep.",Original,1983,1983,In Force,BGD,Lower middle income,South Asia,KOR,High income,East Asia & Pacific,0.46,0.41,0.47,0.5,0.47,6,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,10,10,15,10,10,10,10,10,0,YES,NO,YES,NO,YES,NO,NO,NA,BGD - KOR,NA,NA,NA
601,NA,Bangladesh,Malaysia,Original,1983,1981,In Force,BGD,Lower middle income,South Asia,MYS,Upper middle income,East Asia & Pacific,0.55,0.56,0.59,0.5,0.53,6,YES,NO,NO,NO,YES,NO,NO,NO,NO,YES,15,NA,15,15,15,15,15,15,0,YES,NO,YES,NO,YES,NO,NO,NA,BGD - MYS,NA,NA,NA
602,NA,Bangladesh,Mauritius,Original,2009,2012,In Force,BGD,Lower middle income,South Asia,MUS,Upper middle income,Sub-Saharan Africa,0.35,0.13,0.69,0.25,0.41,12,YES,12,NO,NO,YES,NO,NO,NO,NO,YES,10,NA,10,0,0,0,0,0,0,NO,NO,YES,NO,NO,NO,NO,NA,BGD - MUS,NA,NA,NA
604,NA,Bangladesh,Netherlands,Original,1993,1995,In Force,BGD,Lower middle income,South Asia,NLD,High income,Europe & Central Asia,0.36,0.35,0.47,0.25,0.35,6,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,10,10,15,10,7.5,10,10,0,0,NO,NO,YES,NO,NO,NO,NO,NA,BGD - NLD,NA,NA,NA
605,NA,Bangladesh,Norway,Original,2004,2006,In Force,BGD,Lower middle income,South Asia,NOR,High income,Europe & Central Asia,0.4,0.36,0.47,0.38,0.41,6,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,10,10,15,10,10,10,10,0,0,NO,NO,YES,NO,YES,NO,YES,NA,BGD - NOR,NA,NA,NA
606,NA,Bangladesh,Pakistan,Original,1981,1980,In Force,BGD,Lower middle income,South Asia,PAK,Lower middle income,South Asia,0.51,0.56,0.47,0.5,0.47,6,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,15,NA,15,15,15,15,15,15,0,YES,NO,YES,NO,YES,NO,NO,NA,BGD - PAK,NA,NA,NA
607,NA,Bangladesh,Philippines,Original,1997,2004,In Force,BGD,Lower middle income,South Asia,PHL,Lower middle income,East Asia & Pacific,0.56,0.53,0.72,0.43,0.56,6,YES,6,NO,NO,YES,NO,NO,NO,NO,NA,10,25,15,15,15,15,15,15,0,YES,NO,YES,NO,YES,NO,NO,NA,BGD - PHL,NA,NA,NA
608,NA,Bangladesh,Poland,Original,1997,2000,In Force,BGD,Lower middle income,South Asia,POL,High income,Europe & Central Asia,0.46,0.41,0.47,0.5,0.47,6,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,10,10,15,10,10,10,10,10,0,YES,NO,YES,NO,YES,NO,NO,NA,BGD - POL,NA,NA,NA
610,NA,Bangladesh,Romania,Original,1987,1989,In Force,BGD,Lower middle income,South Asia,ROU,Upper middle income,Europe & Central Asia,0.46,0.41,0.47,0.5,0.47,6,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,10,10,15,10,10,10,10,10,0,YES,NO,YES,NO,YES,NO,NO,NA,BGD - ROU,NA,NA,NA
611,NA,Bangladesh,Saudi Arabia,Original,2011,2012,In Force,BGD,Lower middle income,South Asia,SAU,High income,Middle East & North Africa,0.6,0.34,0.72,0.75,0.71,6,YES,6,NO,NO,YES,NO,NO,YES,YES,YES,10,NA,10,7.5,7.5,10,10,10,0,YES,YES,YES,NO,YES,NO,NO,NA,BGD - SAU,NA,NA,NA
612,NA,Bangladesh,Singapore,Original,1980,1979,In Force,BGD,Lower middle income,South Asia,SGP,High income,East Asia & Pacific,0.43,0.44,0.47,0.38,0.41,6,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,15,NA,15,10,10,10,10,10,0,YES,NO,NO,NO,YES,NO,NO,NA,BGD - SGP,NA,NA,NA
613,NA,Bangladesh,Sri Lanka,Original,1986,1989,In Force,BGD,Lower middle income,South Asia,LKA,Upper middle income,South Asia,0.49,0.56,0.47,0.43,0.44,6,NO,NO,NO,NO,YES,NO,NO,NO,NO,NA,15,NA,15,15,15,15,15,15,0,YES,NO,YES,NO,YES,NO,NO,NA,BGD - LKA,NA,NA,NA
614,NA,Bangladesh,Sweden,Original,1982,1984,In Force,BGD,Lower middle income,South Asia,SWE,High income,Europe & Central Asia,0.47,0.44,0.47,0.5,0.47,6,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,10,10,15,15,10,10,10,10,0,YES,NO,YES,NO,YES,NO,NO,NA,BGD - SWE,NA,NA,NA
615,NA,Bangladesh,Switzerland,Original,2007,2009,In Force,BGD,Lower middle income,South Asia,CHE,High income,Europe & Central Asia,0.28,0.36,0.09,0.38,0.24,6,NO,NO,YES,YES,NO,NO,NO,NO,NO,YES,10,20,15,10,10,10,10,0,0,YES,NO,YES,NO,NO,NO,NO,NA,BGD - CHE,NA,NA,NA
616,NA,Bangladesh,Thailand,Original,1997,1998,In Force,BGD,Lower middle income,South Asia,THA,Upper middle income,East Asia & Pacific,0.45,0.5,0.47,0.38,0.41,6,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,10,10,15,15,10,15,15,15,0,NO,NO,YES,NO,YES,NO,NO,NA,BGD - THA,NA,NA,NA
617,NA,Bangladesh,Turkey,Original,1999,2004,In Force,BGD,Lower middle income,South Asia,TUR,Upper middle income,Europe & Central Asia,0.22,0.33,0.06,0.25,0.12,12,NO,NO,YES,YES,NO,NO,NO,NO,NO,YES,10,NA,10,10,10,10,10,0,0,NO,NO,YES,NO,NO,NO,NO,NA,BGD - TUR,NA,NA,NA
618,NA,Bangladesh,United Arab Emirates,Original,2011,2013,In Force,BGD,Lower middle income,South Asia,ARE,High income,Middle East & North Africa,0.73,0.47,0.97,0.75,0.88,6,YES,6,NO,NO,YES,YES,YES,YES,YES,YES,5,3,10,10,10,10,10,10,10,YES,NO,YES,YES,NO,NO,NO,NA,BGD - ARE,NA,NA,NA
619,NA,Bangladesh,United Kingdom,Original,1979,1978,In Force,BGD,Lower middle income,South Asia,GBR,High income,Europe & Central Asia,0.42,0.39,0.47,0.4,0.43,6,NO,NO,NO,NO,YES,NO,NO,NO,NO,NA,10,10,15,10,7.5,10,10,10,0,YES,NO,YES,NA,NA,NO,NO,NA,BGD - GBR,NA,NA,NA
620,NA,Bangladesh,United States,Original,1980,NA,Not In Force,BGD,Lower middle income,South Asia,USA,High income,North America,0.47,0.51,0.47,0.43,0.44,6,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,15,10,25,15,15,15,10,0,0,YES,NO,YES,NA,YES,NO,YES,NA,BGD - USA,NA,NA,NA
621,NA,Bangladesh,United States,Original,2004,2006,In Force,BGD,Lower middle income,South Asia,USA,High income,North America,0.41,0.33,0.47,0.43,0.44,6,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,10,10,15,10,5,10,10,0,0,YES,NO,YES,NA,YES,NO,NO,NA,BGD - USA,NA,NA,NA
622,NA,Bangladesh,Vietnam,Original,2004,2006,In Force,BGD,Lower middle income,South Asia,VNM,Lower middle income,East Asia & Pacific,0.82,0.75,0.84,0.88,0.88,6,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,15,NA,15,15,15,15,15,15,15,YES,YES,YES,NO,YES,NO,NO,NA,BGD - VNM,NA,NA,NA
634,NA,Barbados,Ghana,Original,2008,NA,Not In Force,BRB,High income,Latin America & Caribbean,GHA,Lower middle income,Sub-Saharan Africa,0.35,0.34,0.22,0.5,0.41,6,YES,NO,YES,YES,NO,NO,NO,NO,YES,NO,5,10,7.5,7.5,5,7.5,7.5,7.5,7.5,YES,NO,YES,YES,NO,NO,NO,NA,BRB - GHA,NA,NA,NA
714,NA,Belarus,Mongolia,Original,2001,2008,In Force,BLR,Upper middle income,Europe & Central Asia,MNG,Lower middle income,East Asia & Pacific,0.44,0.5,0.56,0.25,0.41,12,YES,6,YES,YES,NO,YES,YES,YES,NO,NO,10,NA,10,10,10,10,10,10,10,NO,NO,YES,NO,NO,NO,NO,NA,BLR - MNG,NA,NA,NA
719,NA,Belarus,Pakistan,Original,2004,2007,Superseded,BLR,Upper middle income,Europe & Central Asia,PAK,Lower middle income,South Asia,0.4,0.47,0.22,0.5,0.35,6,YES,NO,YES,YES,NO,NO,NO,NO,YES,NO,10,25,15,10,10,15,15,15,0,NO,NO,YES,YES,YES,NO,NO,NA,BLR - PAK,NA,2016,2016
732,NA,Belarus,Sri Lanka,Original,2013,2015,In Force,BLR,Upper middle income,Europe & Central Asia,LKA,Upper middle income,South Asia,0.61,0.36,0.84,0.63,0.71,6,YES,6,NO,YES,YES,YES,YES,NO,YES,YES,7.5,25,10,10,10,10,10,10,0,YES,NO,YES,NO,YES,NO,NO,NA,BLR - LKA,NA,NA,NA
751,NA,Belarus,Vietnam,Original,1997,1998,In Force,BLR,Upper middle income,Europe & Central Asia,VNM,Lower middle income,East Asia & Pacific,0.61,0.5,0.72,0.63,0.65,6,YES,6,YES,YES,YES,YES,YES,NO,YES,NO,15,NA,15,10,10,15,15,15,0,YES,YES,YES,NO,YES,NO,NO,NA,BLR - VNM,NA,NA,NA
766,NA,Belgium,"Congo, Dem. Rep.",Original,2007,2012,In Force,BEL,High income,Europe & Central Asia,COD,Low income,Sub-Saharan Africa,0.27,0.34,0.09,0.38,0.24,6,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,10,25,15,10,0,10,10,10,0,YES,NO,NO,NO,YES,NO,YES,NA,BEL - COD,NA,NA,NA
791,NA,Belgium,Ghana,Original,2005,2009,In Force,BEL,High income,Europe & Central Asia,GHA,Lower middle income,Sub-Saharan Africa,0.31,0.46,0.22,0.25,0.29,6,YES,NO,YES,YES,NO,NO,NO,NO,YES,NO,5,10,15,10,10,10,10,0,10,NO,NO,YES,NO,NO,NO,YES,NA,BEL - GHA,NA,NA,NA
811,NA,Belgium,Côte d'Ivoire,Original,1977,1980,In Force,BEL,High income,Europe & Central Asia,CIV,Lower middle income,Sub-Saharan Africa,0.49,0.51,0.84,0.13,0.47,6,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,15,NA,15,16,16,10,10,10,0,NO,NO,YES,NO,NO,NO,YES,NA,BEL - CIV,NA,NA,NA
837,NA,Belgium,Mongolia,Original,1995,2001,In Force,BEL,High income,Europe & Central Asia,MNG,Lower middle income,East Asia & Pacific,0.23,0.23,0.22,0.25,0.24,6,NO,NO,YES,YES,NO,NO,YES,NO,NO,NO,5,10,15,10,0,5,5,0,0,NO,NO,YES,NO,YES,NO,YES,NA,BEL - MNG,NA,NA,NA
845,NA,Belgium,Nigeria,Original,1989,1995,In Force,BEL,High income,Europe & Central Asia,NGA,Lower middle income,Sub-Saharan Africa,0.49,0.48,0.36,0.63,0.47,3,YES,NO,YES,YES,YES,NO,NO,YES,YES,YES,12.5,10,15,12.5,12.5,12.5,12.5,12.5,0,NO,NO,YES,NO,YES,NO,NO,NA,BEL - NGA,NA,NA,NA
851,NA,Belgium,Pakistan,Original,1980,1982,Superseded,BEL,High income,Europe & Central Asia,PAK,Lower middle income,South Asia,0.59,0.54,0.59,0.63,0.59,6,YES,3,YES,YES,YES,NO,YES,YES,YES,NO,10,20,NO LIMIT,15,15,20,0,20,0,YES,YES,YES,YES,NO,NO,NO,NA,BEL - PAK,NA,2020,2020
853,NA,Belgium,Philippines,Original,1976,1981,Superseded,BEL,High income,Europe & Central Asia,PHL,Lower middle income,East Asia & Pacific,0.79,0.66,0.97,0.75,0.82,6,YES,6,NO,NO,YES,YES,YES,YES,YES,YES,15,NA,20,15,15,25,25,25,0,YES,YES,YES,NO,YES,NO,YES,NA,BEL - PHL,NA,1999,1999
866,NA,Belgium,Rwanda,Original,2007,2011,In Force,BEL,High income,Europe & Central Asia,RWA,Low income,Sub-Saharan Africa,0.4,0.47,0.47,0.25,0.41,6,YES,3,YES,YES,NO,YES,NO,NO,NO,NO,0,25,15,10,10,10,10,10,10,YES,NO,NO,NO,YES,NO,YES,NA,BEL - RWA,NA,NA,NA
871,NA,Belgium,Senegal,Original,1987,1994,In Force,BEL,High income,Europe & Central Asia,SEN,Lower middle income,Sub-Saharan Africa,0.54,0.51,0.97,0.13,0.53,6,YES,6,NO,NO,YES,YES,YES,NO,NO,NO,16,NA,16,15,15,10,10,10,0,NO,NO,YES,NO,NO,NO,YES,NA,BEL - SEN,NA,NA,NA
887,NA,Belgium,Sri Lanka,Original,1983,1984,In Force,BEL,High income,Europe & Central Asia,LKA,Upper middle income,South Asia,0.55,0.44,0.84,0.38,0.59,6,YES,6,NO,NO,YES,NO,YES,NO,YES,YES,15,NA,15,10,10,10,10,10,0,NO,NO,YES,NO,NO,NO,NO,NA,BEL - LKA,NA,NA,NA
901,NA,Belgium,Uganda,Original,2007,NA,Superseded,BEL,High income,Europe & Central Asia,UGA,Low income,Sub-Saharan Africa,0.37,0.4,0.34,0.38,0.41,6,YES,NO,YES,YES,NO,YES,NO,NO,YES,NO,5,10,15,10,0,10,10,0,10,NO,NO,YES,NO,YES,NO,YES,NA,BEL - UGA,NA,NA,NA
916,NA,Belgium,Vietnam,Original,1996,2000,In Force,BEL,High income,Europe & Central Asia,VNM,Lower middle income,East Asia & Pacific,0.66,0.63,0.72,0.63,0.71,6,YES,6,NO,NO,YES,NO,NO,YES,YES,NO,5,50,15,10,10,15,15,15,15,YES,YES,YES,NO,NO,NO,YES,NA,BEL - VNM,NA,NA,NA
926,NA,Benin,Norway,Original,1979,1979,In Force,BEN,Low income,Sub-Saharan Africa,NOR,High income,Europe & Central Asia,0.23,0.48,0.09,0.13,0.12,6,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,18,NA,18,25,25,0,0,0,0,NO,NO,YES,NO,NO,NO,NO,NA,BEN - NOR,NA,NA,NA
927,NA,Benin,United Arab Emirates,Original,2013,NA,Not In Force,BEN,Low income,Sub-Saharan Africa,ARE,High income,Middle East & North Africa,0.36,0,0.72,0.38,0.53,6,YES,6,YES,YES,YES,YES,YES,NO,YES,NO,0,NA,0,0,0,0,0,0,0,YES,NO,YES,NO,NO,NO,NO,NA,BEN - ARE,NA,NA,NA
937,NA,Bhutan,India,Original,2013,2015,In Force,BTN,Lower middle income,South Asia,IND,Lower middle income,South Asia,0.66,0.5,0.98,0.5,0.76,4,YES,4,NO,NO,YES,YES,YES,NO,YES,NO,10,NA,10,10,10,10,10,10,10,YES,YES,NO,NO,YES,NO,YES,PPT,BTN - IND,NA,NA,NA
970,NA,Bosnia and Herzegovina,Pakistan,Original,2004,2007,Superseded,BIH,Upper middle income,Europe & Central Asia,PAK,Lower middle income,South Asia,0.51,0.56,0.22,0.75,0.47,6,YES,NO,YES,YES,NO,NO,NO,YES,NO,NO,10,NA,10,20,20,15,15,15,0,YES,YES,YES,YES,YES,NO,NO,NA,BIH - PAK,NA,2020,2020
982,NA,Bosnia and Herzegovina,Sri Lanka,Pre-independence,1985,1987,In Force,BIH,Upper middle income,Europe & Central Asia,LKA,Upper middle income,South Asia,0.45,0.41,0.58,0.38,0.44,9,NO,9,NO,NO,YES,NO,NO,NO,NO,YES,12.5,NA,12.5,10,10,10,10,10,0,YES,YES,YES,NO,NO,NO,NO,NA,BIH - LKA,NA,NA,NA
1010,NA,Botswana,Eswatini,Original,2010,NA,Not In Force,BWA,Upper middle income,Sub-Saharan Africa,SWZ,Lower middle income,Sub-Saharan Africa,0.63,0.53,0.84,0.5,0.71,6,YES,3,NO,NO,YES,YES,NO,NO,YES,NO,10,25,15,10,10,10,10,10,10,YES,NO,YES,NO,YES,NO,YES,NA,BWA - SWZ,NA,NA,NA
1015,NA,Botswana,Zambia,Original,2013,2015,In Force,BWA,Upper middle income,Sub-Saharan Africa,ZMB,Lower middle income,Sub-Saharan Africa,0.6,0.45,0.84,0.5,0.71,6,YES,6,NO,NO,YES,YES,NO,NO,YES,NO,5,25,7,10,10,10,10,10,10,YES,NO,YES,NO,YES,NO,YES,NA,BWA - ZMB,NA,NA,NA
1016,NA,Botswana,Zimbabwe,Original,2004,2008,In Force,BWA,Upper middle income,Sub-Saharan Africa,ZWE,Lower middle income,Sub-Saharan Africa,0.6,0.47,0.97,0.38,0.71,6,YES,6,NO,NO,YES,YES,YES,NO,YES,NO,5,25,10,10,10,10,10,10,10,NO,NO,YES,NO,YES,NO,YES,NA,BWA - ZWE,NA,NA,NA
1044,NA,Brazil,Philippines,Original,1983,1992,In Force,BRA,Upper middle income,Latin America & Caribbean,PHL,Lower middle income,East Asia & Pacific,0.63,0.78,0.47,0.63,0.59,6,NO,NO,NO,NO,NO,YES,NO,NO,YES,YES,15,NA,25,15,15,15,15,15,15,YES,YES,YES,NO,YES,NO,NO,NA,BRA - PHL,NA,NA,NA
1075,NA,Brunei Darussalam,Lao PDR,Original,2006,2011,In Force,BRN,High income,East Asia & Pacific,LAO,Lower middle income,East Asia & Pacific,0.48,0.47,0.72,0.25,0.53,6,YES,3,YES,YES,YES,YES,YES,YES,NO,NO,5,10,10,10,10,10,10,10,10,NO,NO,YES,NO,NO,NO,NO,NA,BRN - LAO,NA,NA,NA
1079,NA,Brunei Darussalam,Pakistan,Original,2009,2010,In Force,BRN,High income,East Asia & Pacific,PAK,Lower middle income,South Asia,0.8,0.69,0.97,0.75,0.88,6,YES,3,NO,NO,YES,YES,YES,YES,YES,NO,10,NA,10,15,15,15,15,15,15,YES,NO,YES,YES,YES,NO,NO,NA,BRN - PAK,NA,NA,NA
