iso3c,issue,2018,2019,2020,2021,2022
ARG,secondary_missing,compliance,compliance,compliance,compliance,compliance
ARG,local_filing,compliance,compliance,compliance,compliance,compliance
ARG,definition,compliance,compliance,compliance,compliance,compliance
ARG,revenue_threshold,compliance,compliance,compliance,compliance,compliance
ARG,enforcement_measures,compliance,compliance,compliance,compliance,compliance
ARG,exemption,compliance,compliance,compliance,compliance,compliance
ARG,timing,compliance,compliance,compliance,compliance,compliance
ARM,imposition_required,not_assessed,not_assessed,non_compliance,non_compliance,non_compliance
ARM,secondary_missing,not_assessed,not_assessed,law_not_in_place,law_not_in_place,law_not_in_place
ARM,local_filing,not_assessed,not_assessed,law_not_in_place,law_not_in_place,law_not_in_place
ARM,definition,not_assessed,not_assessed,law_not_in_place,law_not_in_place,law_not_in_place
ARM,revenue_threshold,not_assessed,not_assessed,law_not_in_place,law_not_in_place,law_not_in_place
ARM,enforcement_measures,not_assessed,not_assessed,law_not_in_place,law_not_in_place,law_not_in_place
ARM,exemption,not_assessed,not_assessed,law_not_in_place,law_not_in_place,law_not_in_place
ARM,timing,not_assessed,not_assessed,law_not_in_place,law_not_in_place,law_not_in_place
ATG,imposition_required,not_assessed,not_assessed,non_compliance,non_compliance,non_compliance
ATG,secondary_missing,not_assessed,not_assessed,law_not_in_place,law_not_in_place,law_not_in_place
ATG,local_filing,not_assessed,not_assessed,law_not_in_place,law_not_in_place,law_not_in_place
ATG,definition,not_assessed,not_assessed,law_not_in_place,law_not_in_place,law_not_in_place
ATG,revenue_threshold,not_assessed,not_assessed,law_not_in_place,law_not_in_place,law_not_in_place
ATG,enforcement_measures,not_assessed,not_assessed,law_not_in_place,law_not_in_place,law_not_in_place
ATG,exemption,not_assessed,not_assessed,law_not_in_place,law_not_in_place,law_not_in_place
ATG,timing,not_assessed,not_assessed,law_not_in_place,law_not_in_place,law_not_in_place
AUS,imposition_required,compliance,compliance,compliance,compliance,compliance
AUS,secondary_missing,compliance,compliance,compliance,compliance,compliance
AUS,local_filing,non_compliance,compliance,compliance,compliance,compliance
AUS,definition,compliance,compliance,compliance,compliance,compliance
AUS,revenue_threshold,compliance,compliance,compliance,compliance,compliance
AUS,enforcement_measures,compliance,compliance,compliance,compliance,compliance
AUS,exemption,compliance,compliance,compliance,compliance,compliance
AUS,timing,compliance,compliance,compliance,compliance,compliance
AUT,imposition_required,compliance,compliance,compliance,compliance,compliance
AUT,secondary_missing,compliance,compliance,compliance,compliance,compliance
AUT,local_filing,compliance,compliance,compliance,compliance,compliance
AUT,definition,non_compliance,compliance,compliance,compliance,compliance
AUT,revenue_threshold,compliance,compliance,compliance,compliance,compliance
AUT,enforcement_measures,compliance,compliance,compliance,compliance,compliance
AUT,exemption,compliance,compliance,compliance,compliance,compliance
AUT,timing,compliance,compliance,compliance,compliance,compliance
BEL,imposition_required,compliance,compliance,compliance,compliance,compliance
BEL,secondary_missing,compliance,compliance,compliance,compliance,compliance
BEL,local_filing,compliance,compliance,compliance,compliance,compliance
BEL,definition,compliance,compliance,compliance,compliance,compliance
BEL,revenue_threshold,compliance,compliance,compliance,compliance,compliance
BEL,enforcement_measures,compliance,compliance,compliance,compliance,compliance
BEL,exemption,compliance,compliance,compliance,compliance,compliance
BEL,timing,compliance,compliance,compliance,compliance,compliance
BEN,imposition_required,non_compliance,non_compliance,non_compliance,non_compliance,non_compliance
BEN,secondary_missing,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place
BEN,local_filing,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place
BEN,definition,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place
BEN,revenue_threshold,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place
BEN,enforcement_measures,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place
BEN,exemption,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place
BEN,timing,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place
BGR,imposition_required,compliance,compliance,compliance,compliance,compliance
BGR,secondary_missing,compliance,compliance,compliance,compliance,compliance
BGR,local_filing,compliance,compliance,non_compliance,non_compliance,non_compliance
BGR,definition,compliance,compliance,compliance,compliance,compliance
BGR,revenue_threshold,compliance,compliance,compliance,compliance,compliance
BGR,enforcement_measures,compliance,compliance,compliance,compliance,compliance
BGR,exemption,compliance,compliance,compliance,compliance,compliance
BGR,timing,compliance,compliance,compliance,compliance,compliance
BHR,imposition_required,not_assessed,non_compliance,non_compliance,compliance,compliance
BHR,secondary_missing,not_assessed,law_not_in_place,law_not_in_place,compliance,compliance
BHR,local_filing,not_assessed,law_not_in_place,law_not_in_place,compliance,compliance
BHR,definition,not_assessed,law_not_in_place,law_not_in_place,compliance,compliance
BHR,revenue_threshold,not_assessed,law_not_in_place,law_not_in_place,compliance,compliance
BHR,enforcement_measures,not_assessed,law_not_in_place,law_not_in_place,compliance,compliance
BHR,exemption,not_assessed,law_not_in_place,law_not_in_place,compliance,compliance
BHR,timing,not_assessed,law_not_in_place,law_not_in_place,compliance,compliance
BHS,imposition_required,not_assessed,compliance,compliance,compliance,compliance
BHS,secondary_missing,not_assessed,compliance,compliance,compliance,compliance
BHS,local_filing,not_assessed,compliance,compliance,compliance,compliance
BHS,definition,not_assessed,compliance,compliance,compliance,compliance
BHS,revenue_threshold,not_assessed,compliance,compliance,compliance,compliance
BHS,enforcement_measures,not_assessed,compliance,compliance,compliance,compliance
BHS,exemption,not_assessed,compliance,compliance,compliance,compliance
BHS,timing,not_assessed,non_compliance,compliance,compliance,compliance
BIH,imposition_required,not_assessed,not_assessed,compliance,compliance,compliance
BIH,secondary_missing,not_assessed,not_assessed,compliance,compliance,compliance
BIH,local_filing,not_assessed,not_assessed,compliance,compliance,compliance
BIH,definition,not_assessed,not_assessed,compliance,compliance,compliance
BIH,revenue_threshold,not_assessed,not_assessed,non_compliance,non_compliance,non_compliance
BIH,enforcement_measures,not_assessed,not_assessed,compliance,compliance,compliance
BIH,exemption,not_assessed,not_assessed,non_compliance,non_compliance,non_compliance
BIH,timing,not_assessed,not_assessed,non_compliance,non_compliance,non_compliance
BLR,imposition_required,not_assessed,not_assessed,not_assessed,not_assessed,non_compliance
BLR,secondary_missing,not_assessed,not_assessed,not_assessed,not_assessed,law_not_in_place
BLR,local_filing,not_assessed,not_assessed,not_assessed,not_assessed,law_not_in_place
BLR,definition,not_assessed,not_assessed,not_assessed,not_assessed,law_not_in_place
BLR,revenue_threshold,not_assessed,not_assessed,not_assessed,not_assessed,law_not_in_place
BLR,enforcement_measures,not_assessed,not_assessed,not_assessed,not_assessed,law_not_in_place
BLR,exemption,not_assessed,not_assessed,not_assessed,not_assessed,law_not_in_place
BLR,timing,not_assessed,not_assessed,not_assessed,not_assessed,law_not_in_place
BLZ,imposition_required,non_compliance,non_compliance,compliance,compliance,compliance
BLZ,secondary_missing,law_not_in_place,law_not_in_place,compliance,compliance,compliance
BLZ,local_filing,law_not_in_place,law_not_in_place,compliance,non_compliance,non_compliance
BLZ,definition,law_not_in_place,law_not_in_place,compliance,compliance,compliance
BLZ,revenue_threshold,law_not_in_place,law_not_in_place,compliance,compliance,compliance
BLZ,enforcement_measures,law_not_in_place,law_not_in_place,compliance,compliance,compliance
BLZ,exemption,law_not_in_place,law_not_in_place,compliance,compliance,compliance
BLZ,timing,law_not_in_place,law_not_in_place,compliance,compliance,compliance
BMU,imposition_required,compliance,compliance,compliance,compliance,compliance
BMU,secondary_missing,compliance,compliance,compliance,compliance,compliance
BMU,local_filing,compliance,compliance,compliance,compliance,compliance
BMU,definition,compliance,compliance,compliance,compliance,compliance
BMU,revenue_threshold,compliance,compliance,compliance,compliance,compliance
BMU,enforcement_measures,compliance,compliance,compliance,compliance,compliance
BMU,exemption,compliance,compliance,compliance,compliance,compliance
BMU,timing,compliance,compliance,compliance,compliance,compliance
BRA,imposition_required,compliance,compliance,compliance,compliance,compliance
BRA,secondary_missing,compliance,compliance,compliance,compliance,compliance
BRA,local_filing,compliance,compliance,compliance,compliance,compliance
BRA,definition,compliance,compliance,compliance,compliance,compliance
BRA,revenue_threshold,non_compliance,compliance,compliance,compliance,compliance
BRA,enforcement_measures,compliance,compliance,compliance,compliance,compliance
BRA,exemption,compliance,compliance,compliance,compliance,compliance
BRA,timing,compliance,compliance,compliance,compliance,compliance
BRB,imposition_required,non_compliance,non_compliance,non_compliance,non_compliance,compliance
BRB,secondary_missing,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place,compliance
BRB,local_filing,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place,compliance
BRB,definition,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place,compliance
BRB,revenue_threshold,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place,compliance
BRB,enforcement_measures,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place,compliance
BRB,exemption,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place,compliance
BRB,timing,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place,compliance
BRN,imposition_required,non_compliance,non_compliance,non_compliance,non_compliance,non_compliance
BRN,secondary_missing,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place
BRN,local_filing,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place
BRN,definition,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place
BRN,revenue_threshold,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place
BRN,enforcement_measures,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place
BRN,exemption,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place
BRN,timing,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place
BWA,imposition_required,not_assessed,non_compliance,non_compliance,non_compliance,non_compliance
BWA,secondary_missing,not_assessed,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place
BWA,local_filing,not_assessed,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place
BWA,definition,not_assessed,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place
BWA,revenue_threshold,not_assessed,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place
BWA,enforcement_measures,not_assessed,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place
BWA,exemption,not_assessed,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place
BWA,timing,not_assessed,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place
CAN,imposition_required,compliance,compliance,compliance,compliance,compliance
CAN,secondary_missing,compliance,compliance,compliance,compliance,compliance
CAN,local_filing,non_compliance,compliance,compliance,compliance,compliance
CAN,definition,compliance,compliance,compliance,compliance,compliance
CAN,revenue_threshold,compliance,compliance,compliance,compliance,compliance
CAN,enforcement_measures,compliance,compliance,compliance,compliance,compliance
CAN,exemption,compliance,compliance,compliance,compliance,compliance
CAN,timing,compliance,compliance,compliance,compliance,compliance
CHE,imposition_required,compliance,compliance,compliance,compliance,compliance
CHE,secondary_missing,compliance,compliance,compliance,compliance,compliance
CHE,local_filing,compliance,compliance,compliance,compliance,compliance
CHE,definition,compliance,compliance,compliance,compliance,compliance
CHE,revenue_threshold,compliance,compliance,compliance,compliance,compliance
CHE,enforcement_measures,compliance,compliance,compliance,compliance,compliance
CHE,exemption,compliance,compliance,compliance,compliance,compliance
CHE,timing,compliance,compliance,compliance,compliance,compliance
CHL,imposition_required,compliance,compliance,compliance,compliance,compliance
CHL,secondary_missing,compliance,compliance,compliance,compliance,compliance
CHL,local_filing,compliance,compliance,compliance,compliance,compliance
CHL,definition,non_compliance,compliance,compliance,compliance,compliance
CHL,revenue_threshold,compliance,compliance,compliance,compliance,compliance
CHL,enforcement_measures,compliance,non_compliance,non_compliance,compliance,compliance
CHL,exemption,compliance,compliance,compliance,compliance,compliance
CHL,timing,compliance,compliance,compliance,compliance,compliance
CHN,imposition_required,compliance,compliance,compliance,compliance,compliance
CHN,secondary_missing,compliance,compliance,compliance,compliance,compliance
CHN,local_filing,compliance,compliance,compliance,non_compliance,non_compliance
CHN,definition,compliance,compliance,compliance,compliance,compliance
CHN,revenue_threshold,compliance,compliance,compliance,compliance,compliance
CHN,enforcement_measures,compliance,compliance,compliance,compliance,compliance
CHN,exemption,non_compliance,non_compliance,non_compliance,non_compliance,non_compliance
CHN,timing,compliance,compliance,compliance,compliance,compliance
CIV,imposition_required,compliance,compliance,compliance,compliance,compliance
CIV,secondary_missing,non_compliance,compliance,compliance,compliance,compliance
CIV,local_filing,compliance,compliance,compliance,compliance,compliance
CIV,definition,non_compliance,compliance,compliance,compliance,compliance
CIV,revenue_threshold,compliance,non_compliance,compliance,compliance,compliance
CIV,enforcement_measures,non_compliance,compliance,compliance,compliance,compliance
CIV,exemption,compliance,compliance,compliance,compliance,compliance
CIV,timing,compliance,compliance,compliance,compliance,compliance
CMR,imposition_required,non_compliance,non_compliance,non_compliance,non_compliance,non_compliance
CMR,secondary_missing,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place
CMR,local_filing,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place
CMR,definition,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place
CMR,revenue_threshold,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place
CMR,enforcement_measures,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place
CMR,exemption,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place
CMR,timing,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place
COD,imposition_required,non_compliance,non_compliance,non_compliance,non_compliance,non_compliance
COD,secondary_missing,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place
COD,local_filing,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place
COD,definition,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place
COD,revenue_threshold,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place
COD,enforcement_measures,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place
COD,exemption,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place
COD,timing,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place
COG,imposition_required,not_assessed,non_compliance,non_compliance,non_compliance,non_compliance
COG,secondary_missing,not_assessed,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place
COG,local_filing,not_assessed,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place
COG,definition,not_assessed,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place
COG,revenue_threshold,not_assessed,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place
COG,enforcement_measures,not_assessed,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place
COG,exemption,not_assessed,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place
COG,timing,not_assessed,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place
COL,imposition_required,compliance,compliance,compliance,compliance,compliance
COL,secondary_missing,compliance,compliance,compliance,compliance,compliance
COL,local_filing,compliance,compliance,compliance,compliance,compliance
COL,definition,compliance,compliance,compliance,compliance,compliance
COL,revenue_threshold,compliance,compliance,compliance,compliance,compliance
COL,enforcement_measures,compliance,compliance,compliance,compliance,compliance
COL,exemption,compliance,compliance,compliance,compliance,compliance
COL,timing,compliance,compliance,compliance,compliance,compliance
CPV,imposition_required,not_assessed,not_assessed,non_compliance,compliance,compliance
CPV,secondary_missing,not_assessed,not_assessed,law_not_in_place,not_assessed,compliance
CPV,local_filing,not_assessed,not_assessed,law_not_in_place,not_assessed,non_compliance
CPV,definition,not_assessed,not_assessed,law_not_in_place,not_assessed,non_compliance
CPV,revenue_threshold,not_assessed,not_assessed,law_not_in_place,not_assessed,non_compliance
CPV,enforcement_measures,not_assessed,not_assessed,law_not_in_place,not_assessed,compliance
CPV,exemption,not_assessed,not_assessed,law_not_in_place,not_assessed,compliance
CPV,timing,not_assessed,not_assessed,law_not_in_place,not_assessed,compliance
CRI,imposition_required,compliance,compliance,compliance,compliance,compliance
CRI,secondary_missing,compliance,compliance,compliance,compliance,compliance
CRI,local_filing,compliance,compliance,compliance,compliance,compliance
CRI,definition,non_compliance,non_compliance,non_compliance,compliance,compliance
CRI,revenue_threshold,compliance,compliance,compliance,compliance,compliance
CRI,enforcement_measures,compliance,compliance,compliance,compliance,compliance
CRI,exemption,compliance,compliance,compliance,compliance,compliance
CRI,timing,compliance,compliance,compliance,compliance,compliance
CUW,imposition_required,non_compliance,compliance,compliance,compliance,compliance
CUW,secondary_missing,law_not_in_place,compliance,compliance,compliance,compliance
CUW,local_filing,law_not_in_place,compliance,compliance,compliance,compliance
CUW,definition,law_not_in_place,compliance,compliance,compliance,compliance
CUW,revenue_threshold,law_not_in_place,compliance,compliance,compliance,compliance
CUW,enforcement_measures,law_not_in_place,compliance,compliance,compliance,compliance
CUW,exemption,law_not_in_place,compliance,compliance,compliance,compliance
CUW,timing,law_not_in_place,compliance,compliance,compliance,compliance
CYM,imposition_required,compliance,compliance,compliance,compliance,compliance
CYM,secondary_missing,compliance,compliance,compliance,compliance,compliance
CYM,local_filing,compliance,compliance,compliance,compliance,compliance
CYM,definition,compliance,compliance,compliance,compliance,compliance
CYM,revenue_threshold,compliance,compliance,compliance,compliance,compliance
CYM,enforcement_measures,compliance,compliance,compliance,compliance,compliance
CYM,exemption,compliance,compliance,compliance,compliance,compliance
CYM,timing,compliance,compliance,compliance,compliance,compliance
CZE,imposition_required,compliance,compliance,compliance,compliance,compliance
CZE,secondary_missing,compliance,compliance,compliance,compliance,compliance
CZE,local_filing,compliance,compliance,compliance,compliance,compliance
CZE,definition,compliance,compliance,compliance,compliance,compliance
CZE,revenue_threshold,non_compliance,compliance,compliance,compliance,compliance
CZE,enforcement_measures,compliance,compliance,compliance,compliance,compliance
CZE,exemption,compliance,compliance,compliance,compliance,compliance
CZE,timing,compliance,compliance,compliance,compliance,compliance
DEU,imposition_required,compliance,compliance,compliance,compliance,compliance
DEU,secondary_missing,compliance,compliance,compliance,compliance,compliance
DEU,local_filing,non_compliance,compliance,compliance,compliance,compliance
DEU,definition,compliance,compliance,compliance,compliance,compliance
DEU,revenue_threshold,compliance,compliance,compliance,compliance,compliance
DEU,enforcement_measures,compliance,compliance,compliance,compliance,compliance
DEU,exemption,compliance,compliance,compliance,compliance,compliance
DEU,timing,compliance,compliance,compliance,compliance,compliance
DJI,imposition_required,not_assessed,non_compliance,non_compliance,non_compliance,non_compliance
DJI,secondary_missing,not_assessed,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place
DJI,local_filing,not_assessed,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place
DJI,definition,not_assessed,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place
DJI,revenue_threshold,not_assessed,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place
DJI,enforcement_measures,not_assessed,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place
DJI,exemption,not_assessed,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place
DJI,timing,not_assessed,law_not_in_place,law_not_in_place,law_not_in_place,law_not_in_place
DMA,imposition_required,not_assessed,not_assessed,non_compliance,non_compliance,non_compliance
DMA,secondary_missing,not_assessed,not_assessed,law_not_in_place,law_not_in_place,law_not_in_place
DMA,local_filing,not_assessed,not_assessed,law_not_in_place,law_not_in_place,law_not_in_place
DMA,definition,not_assessed,not_assessed,law_not_in_place,law_not_in_place,law_not_in_place
DMA,revenue_threshold,not_assessed,not_assessed,law_not_in_place,law_not_in_place,law_not_in_place
DMA,enforcement_measures,not_assessed,not_assessed,law_not_in_place,law_not_in_place,law_not_in_place
DMA,exemption,not_assessed,not_assessed,law_not_in_place,law_not_in_place,law_not_in_place
DMA,timing,not_assessed,not_assessed,law_not_in_place,law_not_in_place,law_not_in_place
DNK,imposition_required,compliance,compliance,compliance,compliance,compliance
DNK,secondary_missing,compliance,compliance,compliance,compliance,compliance
DNK,local_filing,compliance,compliance,compliance,compliance,compliance
DNK,definition,compliance,compliance,compliance,compliance,compliance
DNK,revenue_threshold,compliance,compliance,compliance,compliance,compliance
DNK,enforcement_measures,compliance,compliance,compliance,compliance,compliance
DNK,exemption,compliance,compliance,compliance,compliance,compliance
DNK,timing,compliance,compliance,compliance,compliance,compliance
DOM,imposition_required,not_assessed,not_assessed,non_compliance,compliance,compliance
DOM,secondary_missing,not_assessed,not_assessed,law_not_in_place,not_assessed,compliance
DOM,local_filing,not_assessed,not_assessed,law_not_in_place,not_assessed,non_compliance
DOM,definition,not_assessed,not_assessed,law_not_in_place,not_assessed,compliance
DOM,revenue_threshold,not_assessed,not_assessed,law_not_in_place,not_assessed,compliance
DOM,enforcement_measures,not_assessed,not_assessed,law_not_in_place,not_assessed,compliance
DOM,exemption,not_assessed,not_assessed,law_not_in_place,not_assessed,compliance
DOM,timing,not_assessed,not_assessed,law_not_in_place,not_assessed,compliance
EGY,imposition_required,non_compliance,compliance,compliance,compliance,compliance
EGY,secondary_missing,law_not_in_place,non_compliance,non_compliance,compliance,compliance
EGY,local_filing,law_not_in_place,compliance,compliance,compliance,compliance
EGY,definition,law_not_in_place,non_compliance,non_compliance,compliance,compliance
EGY,revenue_threshold,law_not_in_place,compliance,compliance,compliance,compliance
EGY,enforcement_measures,law_not_in_place,non_compliance,non_compliance,compliance,compliance
EGY,exemption,law_not_in_place,compliance,compliance,compliance,compliance
EGY,timing,law_not_in_place,compliance,compliance,compliance,compliance
ESP,imposition_required,compliance,compliance,compliance,compliance,compliance
ESP,secondary_missing,compliance,compliance,compliance,compliance,compliance
ESP,local_filing,non_compliance,non_compliance,non_compliance,non_compliance,non_compliance
ESP,definition,compliance,compliance,compliance,non_compliance,non_compliance
ESP,revenue_threshold,non_compliance,non_compliance,non_compliance,non_compliance,non_compliance
ESP,enforcement_measures,compliance,compliance,compliance,compliance,compliance
ESP,exemption,compliance,compliance,compliance,compliance,compliance
ESP,timing,compliance,compliance,compliance,compliance,compliance
EST,imposition_required,compliance,compliance,compliance,compliance,compliance
EST,secondary_missing,compliance,compliance,compliance,compliance,compliance
EST,local_filing,compliance,compliance,compliance,compliance,compliance
EST,definition,compliance,compliance,compliance,compliance,compliance
EST,revenue_threshold,compliance,compliance,compliance,compliance,compliance
EST,enforcement_measures,compliance,compliance,compliance,compliance,compliance
EST,exemption,compliance,compliance,compliance,compliance,compliance
EST,timing,compliance,compliance,compliance,compliance,compliance
FIN,imposition_required,compliance,compliance,compliance,compliance,compliance
FIN,secondary_missing,compliance,compliance,compliance,compliance,compliance
FIN,local_filing,compliance,compliance,compliance,compliance,compliance
FIN,definition,compliance,compliance,compliance,compliance,compliance
FIN,revenue_threshold,compliance,compliance,compliance,compliance,compliance
FIN,enforcement_measures,compliance,compliance,compliance,compliance,compliance
FIN,exemption,compliance,compliance,compliance,compliance,compliance
FIN,timing,compliance,compliance,compliance,compliance,compliance
FRA,imposition_required,compliance,compliance,compliance,compliance,compliance
FRA,secondary_missing,compliance,compliance,compliance,compliance,compliance
FRA,local_filing,compliance,compliance,compliance,non_compliance,non_compliance
FRA,definition,compliance,compliance,compliance,compliance,compliance
FRA,revenue_threshold,compliance,compliance,compliance,compliance,compliance
FRA,enforcement_measures,compliance,compliance,compliance,compliance,compliance
FRA,exemption,compliance,compliance,compliance,compliance,compliance
FRA,timing,compliance,compliance,compliance,compliance,compliance
FRO,imposition_required,not_assessed,not_assessed,compliance,compliance,compliance
FRO,secondary_missing,not_assessed,not_assessed,compliance,compliance,compliance
FRO,local_filing,not_assessed,not_assessed,compliance,compliance,compliance
FRO,definition,not_assessed,not_assessed,compliance,compliance,compliance
FRO,revenue_threshold,not_assessed,not_assessed,non_compliance,non_compliance,non_compliance
FRO,enforcement_measures,not_assessed,not_assessed,compliance,compliance,compliance
FRO,exemption,not_assessed,not_assessed,non_compliance,non_compliance,non_compliance
FRO,timing,not_assessed,not_assessed,compliance,compliance,compliance
GAB,imposition_required,compliance,compliance,compliance,non_compliance,non_compliance
GAB,secondary_missing,non_compliance,non_compliance,non_compliance,law_not_in_place,law_not_in_place
GAB,local_filing,compliance,compliance,compliance,law_not_in_place,law_not_in_place
GAB,definition,non_compliance,non_compliance,non_compliance,law_not_in_place,law_not_in_place
