iso3c,stage,Part_new,improvement,Recommendation,year,description
AND,stage-1,[C.3],-,"Andorra should monitor whether the resources available  for the competent authority function remain adequate in  order to resolve future MAP cases in a timely, efficient  and effective manner.",2020,resources_MAP_function
AND,stage-1,[C.4],-,"Andorra should continue to ensure that its competent  authority has the authority, and uses that authority in  practice, to resolve MAP cases without being dependent  on approval or direction from the tax administration  personnel directly involved in the adjustment at issue  and absent any policy considerations that Andorra would  like to see reflected in future amendments to the treaty.",2020,independence_MAP_function
AND,stage-1,[C.5],-,Andorra could consider using the examples of  performance indicators mentioned in the Action 14 final  report to evaluate staff in charge of the MAP processes.,2020,performance_indicators
AND,stage-1,[C.6],-,-,2020,arbitration_position
AND,stage-1,[D.1],-,"As there was no MAP agreement reached during the Review Period, it was not yet possible to assess whether  Andorra would have implemented all MAP agreements thus far.",2020,implementing_agreements
AND,stage-1,[D.2],-,"As there was no MAP agreement reached during the Review Period that needed to be implemented in Andorra, it  was not yet possible to assess whether Andorra would have implemented all MAP agreements on a timely basis  thus far.",2020,timely_implementation
AND,stage-1,[D.3],-,"Andorra should maintain its stated intention to include the  - required provision, or be willing to accept the inclusion of  both alternatives provisions, in all future tax treaties.",2020,implementation_notwithstanding_time_limits
AND,stage-2,[A.1],-,-,2022,treaty_interpretation_clause
AND,stage-2,[A.2],-,-,2022,apa_roll_back
AND,stage-2,[B.1],-,-,2022,domestic_remedies_three_years
AND,stage-2,[B.2],"Seven of the eight treaties do not contain a provision  equivalent to Article 25(1) of the OECD Model Tax  Convention (OECD, 2017) as amended by the Action 14  final report (OECD, 2015b), allowing taxpayers to  submit a MAP request to the competent authority of  either treaty partner. For these treaties no documented  bilateral consultation or notification process is in place,  which allows the other competent authority concerned  to provide its views on the case when the taxpayer’s  objection raised in the MAP request is considered not to  be justified.","Andorra should without further delay follow up on it  stated intention to document its bilateral notification  process and provide in that document rules of procedure  on how that process should be applied in practice,  including the steps to be followed and timing of these  steps. Furthermore, Andorra should apply its notification  process for future cases in which its competent authority  considered the objection raised in a MAP request not to  be justified and when the tax treaty concerned does not  contain Article 25(1) of the OECD Model Tax Convention  (OECD, 2017) as amended by the Action 14 final report  (OECD, 2015b).",2022,request_either_ca
AND,stage-2,[B.3],-,-,2022,access_tp
AND,stage-2,[B.4],-,-,2022,access_anti_abuse
AND,stage-2,[B.5],-,-,2022,access_audit_settlement
AND,stage-2,[B.6],-,-,2022,access_information
AND,stage-2,[B.7],-,-,2022,double_taxation_other_than_treaty
AND,stage-2,[B.8],There is no published MAP guidance. No guidance is available on what information taxpayers  should include in their MAP request.,Andorra should without further delay introduce clear  and comprehensive MAP guidance. This guidance  should in any case include (i) contact details of the  competent authority or office in charge of MAP cases  and (ii) manner and form in which the taxpayer should  submit its MAP request. Andorra should include in its to be published MAP  guidance information on the manner and form in which  taxpayers should submit their MAP request.,2022,guidelines_on_access
AND,stage-2,[B.9],The MAP guidance is not publicly available.,"Andorra should make its MAP guidance currently in  preparation publically available and easily accessible.  Its MAP profile, published on the shared public platform,  should be updated once Andorra’s MAP guidance has  been introduced.",2022,publish_MAP_profile
AND,stage-2,[B.10],-,-,2022,access_audit_settlement_in_guidelines
AND,stage-2,[C.1],-,-,2022,treaty_provision_resolution
AND,stage-2,[C.2],-,-,2022,resolution_24_months
AND,stage-2,[C.3],-,-,2022,resources_MAP_function
AND,stage-2,[C.4],-,-,2022,independence_MAP_function
AND,stage-2,[C.5],-,-,2022,performance_indicators
AND,stage-2,[C.6],-,-,2022,arbitration_position
AND,stage-2,[D.1],-,-,2022,implementing_agreements
AND,stage-2,[D.2],-,-,2022,timely_implementation
AND,stage-2,[D.3],-,-,2022,implementation_notwithstanding_time_limits
ARG,stage-1,[A.1],"Three out of 21 tax treaties do not contain a provision  that is equivalent to Article 25(3), first sentence, of the  OECD Model Tax Convention. One of these treaties is  expected to be modified by the Multilateral Instrument to  include the required provision upon entry into force for  the treaty concerned.","Argentina should as quickly as possible ratify the  Multilateral Instrument to incorporate the equivalent  of Article 25(3), first sentence, of the OECD Model  Tax Convention for the treaty that currently does not  contain such equivalent and that will be modified by the  Multilateral Instrument upon its entry into force for the  treaty concerned. For the remaining two treaties that will not be modified  by the Multilateral Instrument to include the equivalent  of Article 25(3), first sentence, of the OECD Model Tax  Convention, Argentina should request the inclusion of  the required provision via bilateral negotiations. To this end, Argentina should put a plan in place on  how it envisages updating these treaties to include the  required provision. In addition, Argentina should maintain its stated intention  to include the required provision in all future tax treaties.",2019,treaty_interpretation_clause
ARG,stage-1,[A.2],"As there is not yet a bilateral APA programme in effect, Argentina should follow its stated intention to allow roll-back  of bilateral APAs in appropriate cases once its bilateral APA programme enters into effect, following the issuing of a  regulation.",NA,2019,apa_roll_back
ARG,stage-1,[B.1],One out of 21 tax treaties does not contain a provision  that is equivalent to Article 25(1) of the OECD Model  Tax Convention. This treaty will not be modified by the  Multilateral Instrument to include the required provision.,"As this treaty will not be modified by the Multilateral  Instrument to include the equivalent to Article 25(1)  of the OECD Model Tax Convention in the treaty that  currently does not contain such equivalent, Argentina  should follow its stated intention to request the inclusion  of the required provision via bilateral negotiations, either a. as amended in the Action 14 Final Report; or b. as it read prior to the adoption of Action 14 Final  Report, thereby including the full sentence of such  provision. To this end, Argentina should put a plan in place on how  it envisages updating this treaty to include the required  provision.",2019,domestic_remedies_three_years
ARG,stage-1,[B.1],"One out of 21 tax treaties does not contain the  equivalent to Article 25(1), first sentence, of the OECD  Model Tax Convention and the timeline to file a MAP  request is shorter than three years from the first  notification of the action resulting in taxation not in  accordance with the provision of the tax treaty. This  treaty is expected to be modified by the Multilateral  Instrument to include a filing period of three years upon  entry into force for the treaties concerned, but not as  regards Article 25(1), first sentence. One out of 21 tax treaties does not contain the  equivalent of Article 25(1), second sentence, of the  OECD Model Tax Convention, as the timeline to file  a MAP request is shorter than three years from the  first notification of the action resulting in taxation not  in accordance with the provision of the tax treaty. This  treaty is expected to be modified by the Multilateral  Instrument to include such equivalent upon entry into  force for this treaty. -","Argentina should as quickly as possible ratify the  Multilateral Instrument to incorporate the equivalent to  Article 25(1), second sentence, of the OECD Model Tax  Convention in this treaty. With respect to Article 25(1), first sentence, of the  OECD Model Tax Convention, Argentina should request  the inclusion of the required provision via bilateral  negotiations. This concerns a provision that is equivalent  to Article 25(1), first sentence of the OECD Model Tax  Convention either: a. as amended in the Action 14 Final Report; or b. as it read prior to the adoption of Action 14 Final  Report, thereby including the full sentence of such  provision. To this end, Argentina should put a plan in place on how  it envisages updating this treaty to include the required  provision. Argentina should as quickly as possible ratify the  Multilateral Instrument to incorporate the equivalent to  Article 25(1), second sentence, of the OECD Model Tax  Convention in this treaty. In addition, Argentina should maintain its stated  intention to include Article 25(1) of the OECD Model Tax  Convention as amended in the Action 14 Final Report in  all future tax treaties.",2019,domestic_remedies_three_years
ARG,stage-1,[B.2],"A bilateral notification process is in in place for cases  where the taxpayer’s objection raised in the MAP  request is considered not to be justified. This process,  however, is not documented nor are any rules of  procedure in place for applying the notification process.","Argentina should without further delay document  its bilateral notification process and provide in that  document rules of procedure on how that process should  be applied in practice, including the steps to be followed  and timing of these steps. Furthermore, Argentina should apply its notification  process for future cases in which its competent authority  considered the objection raised in a MAP request not to  be justified and when the tax treaty concerned does not  contain Article 25(1) of the OECD Model Tax Convention  as amended by the Action 14 Final Report.",2019,request_either_ca
ARG,stage-1,[B.3],-,"As Argentina has thus far granted access to MAP in  eligible transfer pricing cases, it should continue granting  access for these cases.",2019,access_tp
ARG,stage-1,[B.4],-,"Argentina reported it will give access to MAP in cases concerning whether the conditions for the application of a  treaty anti-abuse provision have been met or whether the application of a domestic law anti-abuse provision is in  conflict with the provisions of a treaty. Its competent authority, however, did not receive any MAP requests of this  kind from taxpayers during the Review Period. Argentina is therefore recommended to follow its policy and grant  access to MAP in such cases.",2019,access_anti_abuse
ARG,stage-1,[B.5],-,-,2019,access_audit_settlement
ARG,stage-1,[B.6],-,"As Argentina has thus far not limited access to MAP  in eligible cases when taxpayers have complied with  Argentina’s information and documentation requirements  for MAP requests, it should continue this practice.",2019,access_information
ARG,stage-1,[B.7],"Seven out of 21 tax treaties do not contain a provision  that is equivalent to Article 25(3), second sentence,  of the OECD Model Tax Convention. Six of these  treaties are expected to be modified by the Multilateral  Instrument to include the required provision, upon entry  into force for the treaties concerned.","Argentina should as quickly as possible ratify the  Multilateral Instrument to incorporate the equivalent to  Article 25(3), second sentence, of the OECD Model Tax  Convention in those six treaties that currently do not  contain such equivalent and that will be modified by the  Multilateral Instrument upon its entry into force for the  treaties concerned. For the remaining treaty that will not be modified by  the Multilateral Instrument to include the equivalent of  Article 25(3), second sentence, of the OECD Model Tax  Convention, Argentina should request the inclusion of  the required provision via a bilateral negotiation. To this end, Argentina should put a plan in place on how  it envisages updating this treaty to include the required  provision. In addition, Argentina should maintain its stated intention  to include the required provision in all future tax treaties.",2019,double_taxation_other_than_treaty
ARG,stage-1,[B.8],Published MAP guidance is not available.,"Argentina should without further delay introduce  guidance on access to and use of the MAP and include  the specific information and documentation that should  be submitted in a taxpayer’s request for MAP assistance  and publish such guidance without delay. Additionally, although not required by the Action 14  Minimum Standard, when introducing such guidance,  Argentina could consider including information on: •  whether MAP is available in cases of: (i) transfer  pricing cases, (ii) the application of anti-abuse  provisions, (iii) multilateral disputes and (iv) bona fide  foreign-initiated self-adjustments •  whether taxpayers can request for the multi-year  resolution of recurring issues through MAP •  the possibility of suspension of tax collection during  the course of a MAP •  the consideration of interest and penalties in the MAP •  the steps of the process and the timing of such steps  for the implementation of MAP agreements, including  any actions to be taken by taxpayers (if any) •  details regarding what timeframe taxpayers are  expected to comply with requests for additional  information and documentation for a consideration of  their MAP request.",2019,guidelines_on_access
ARG,stage-1,[B.8],"The information necessary for submitting a MAP request  is not available in public guidance, but is included in the  domestic law.","Argentina should include in its to be published MAP  guidance information on the manner and form in which  taxpayers should submit their MAP request. In particular,  the following items could be included: •  facts of the case •  analysis of the issue(s) requested to be resolved via  MAP •  whether the MAP request was also submitted to the  competent authority of the other treaty partner •  whether the MAP request was also submitted to  another authority under another instrument that  provides for a mechanism to resolve treaty-related  disputes •  whether the issue(s) involved were dealt with  previously •  a statement confirming that all information and  documentation provided in the MAP request is  accurate and that the taxpayer will assist the  competent authority in its resolution of the issue(s)  presented in the MAP request by furnishing any  other information or documentation required by the  competent authority in a timely manner.",2019,guidelines_on_access
ARG,stage-1,[B.9],MAP guidance is not publicly available.,"Argentina should, once it has issued MAP guidance,  make this guidance publicly available and easily  accessible and that its MAP profile published on the  shared public platform is updated.",2019,publish_MAP_profile
ARG,stage-1,[B.10],-,-,2019,access_audit_settlement_in_guidelines
ARG,stage-1,[C.1],"Two out of 21 tax treaties do not contain a provision that  is equivalent to Article 25(2), first sentence, of the OECD  Model Tax Convention. One of these treaties is expected  to be modified by the Multilateral Instrument to include  the required provision upon entry into force for the treaty  concerned.","Argentina should as quickly as possible ratify the  Multilateral Instrument to incorporate the equivalent to  Article 25(2), first sentence, of the OECD Model Tax  Convention in the one treaty that currently does not  contain such equivalent and that will be modified by the  Multilateral Instrument upon its entry into force for the  treaty concerned. For the remaining treaty that will not be modified by  the Multilateral Instrument to include the equivalent of  Article 25(2), first sentence, of the OECD Model Tax  Convention, Argentina should request the inclusion of  the required provision via bilateral negotiations. To this end, Argentina should put a plan in place on how  it envisages updating this treaty to include the required  provision. In addition, Argentina should maintain its stated intention  to include the required provision in all future tax treaties.",2019,treaty_provision_resolution
ARG,stage-1,[C.2],"Argentina submitted comprehensive MAP statistics on time on the basis of the MAP Statistics Reporting Framework  for the years 2016 and 2017. Based on the information provided by Argentina’s MAP partners, its post-2015 MAP  statistics actually match those of its treaty partners as reported by the latter. Argentina’s MAP statistics show that during the Statistics Reporting Period it closed 17% (one out of six cases) of  its post-2015 cases in 0.00 months on average. In that regard, Argentina is recommended to seek to resolve the  remaining 83% of the post-2015 cases pending on 31 December 2017 (five cases) within a timeframe that results in  an average timeframe of 24 months for all post-2015 cases.",NA,2019,resolution_24_months
ARG,stage-1,[C.3],-,"Argentina should continue to closely monitor whether  it has adequate resources in place to ensure that  future MAP cases are resolved in a timely, efficient  and effective manner. Regardless, it is suggested that  Argentina respond to the notification letter it received  from the relevant competent authority.",2019,resources_MAP_function
ARG,stage-1,[C.4],-,"As it has done thus far, Argentina should continue to  ensure that its competent authority has the authority,  and uses that authority in practice, to resolve MAP  cases without being dependent on approval or direction  from the tax administration personnel directly involved  in the adjustment at issue and absent any policy  considerations that Argentina would like to see reflected  in future amendments to the treaty.",2019,independence_MAP_function
ARG,stage-1,[C.5],-,Argentina could consider using the examples of  performance indicators mentioned in the Action 14 Final  Report to evaluate staff in charge of the MAP processes.,2019,performance_indicators
ARG,stage-1,[C.6],-,-,2019,arbitration_position
ARG,stage-1,[D.1],-,"As there was no MAP agreement reached during the Review Period that required implementation by Argentina, it  was not yet possible to assess whether Argentina would have implemented all MAP agreements thus far.",2019,implementing_agreements
ARG,stage-1,[D.2],-,"As there was no MAP agreement reached during the Review Period that required implementation by Argentina, it  was not yet possible to assess whether Argentina would have implemented all MAP agreements on a timely basis.",2019,timely_implementation
ARG,stage-1,[D.3],"Eight out of 21 tax treaties contain neither a provision  that is equivalent to Article 25(2), second sentence,  of the OECD Model Tax Convention nor any of the  alternative provisions provided for in Article 9(1) and  Article 7(2). Five of these treaties are expected to be  modified by the Multilateral Instrument to include the  required provision upon entry into force for the treaties  concerned.","Argentina should as quickly as possible ratify the  Multilateral Instrument to incorporate the equivalent to  Article 25(2), second sentence, of the OECD Model Tax  Convention in those five treaties that currently do not  contain such equivalent and that will be modified by the  Multilateral Instrument upon its entry into force for the  treaties concerned. For two of the remaining three treaties that will not be  modified by the Multilateral Instrument to include the  equivalent of Article 25(2), second sentence, of the  OECD Model Tax Convention, Argentina should request  the inclusion of the required provision via bilateral  negotiations or be willing to accept the inclusion of both  alternative provisions. To this end, Argentina should put  a plan in place on how it envisages updating these two  treaties to include the required provision. For the remaining treaty, Argentina should finalise these  negotiations as quickly as possible to have in place the  required provision. In addition, Argentina should maintain its stated intention  to include the required provision, or be willing to accept  the inclusion of both alternatives provisions, in all future  tax treaties.",2019,implementation_notwithstanding_time_limits
ARG,stage-2,[A.1],"Three out of 26 tax treaties do not contain a provision  that is equivalent to Article 25(3), first sentence, of the  OECD Model Tax Convention (OECD, 2017). Of these  three treaties: •  One treaty is expected to be modified by the  Multilateral Instrument to include the required  provision upon entry into force for the treaty  concerned. •  Two will not be modified by the Multilateral Instrument  to include the required provision. With respect to  these two treaties:  -  For one communications have been initiated. -  For one no actions have been taken nor are any  actions planned to be taken.","Argentina should as quickly as possible ratify the  Multilateral Instrument to incorporate the equivalent of  Article 25(3), first sentence, of the OECD Model Tax  Convention (OECD, 2017) for the treaty that currently  does not contain such equivalent and that will be  modified by the Multilateral Instrument upon its entry into  force for the treaty concerned. For the remaining two treaties that will not be modified  by the Multilateral Instrument to include the equivalent  of Article 25(3), first sentence, of the OECD Model Tax  Convention (OECD, 2017), Argentina should: •  initiate negotiations with the treaty partner for which  communications have been initiated to include the  required provision via bilateral negotiations •  without further delay request the inclusion of the  required provision via bilateral negotiations.",2021,treaty_interpretation_clause
ARG,stage-2,[A.2],-,-,2021,apa_roll_back
ARG,stage-2,[B.1],"One out of 26 tax treaties does not contain a provision  that is equivalent to Article 25(1), first sentence, of the  OECD Model Tax Convention (OECD, 2015a). This  treaty will not be modified by the Multilateral Instrument  to include the required provision. For this treaty, no  actions have been taken nor are any actions planned to  be taken.","As this treaty will not be modified by the Multilateral  Instrument to include the equivalent to Article 25(1), first  sentence, of the OECD Model Tax Convention (OECD,  2015a) in the treaty that currently does not contain  such equivalent, Argentina should without further delay  request the inclusion of the required provision via  bilateral negotiations, either a. as amended by the Action 14 final report (OECD,  2015b); or b. as it read prior to the adoption of the Action 14 final  report (OECD, 2015b), thereby including the full  sentence of such provision.",2021,domestic_remedies_three_years
ARG,stage-2,[B.1],"One out of 26 tax treaties does not contain the  equivalent to Article 25(1), first sentence, of the OECD  Model Tax Convention (OECD, 2015a) and the timeline  to file a MAP request is shorter than three years from  the first notification of the action resulting in taxation  not in accordance with the provision of the tax treaty.  This treaty is expected to be modified by the Multilateral  Instrument to include a filing period of three years upon  entry into force for the treaties concerned, but not as  regards Article 25(1), first sentence. For this treaty  communications have been initiated. One out of 26 tax treaties does not contain the  equivalent of Article 25(1), second sentence, of the  OECD Model Tax Convention (OECD, 2017), as the  timeline to file a MAP request is shorter than three  years from the first notification of the action resulting  in taxation not in accordance with the provision of the  tax treaty. This treaty is expected to be modified by the  Multilateral Instrument to include such equivalent upon  entry into force for this treaty.","Argentina should as quickly as possible ratify the  Multilateral Instrument to incorporate the equivalent to  Article 25(1), second sentence, of the OECD Model Tax  Convention (OECD, 2017) in this treaty. With respect to Article 25(1), first sentence, of the OECD  Model Tax Convention (OECD, 2015a), Argentina should  initiate negotiations to include the required provision via  bilateral negotiations. This concerns a provision that is  equivalent to Article 25(1), first sentence of the OECD  Model Tax Convention (OECD, 2015a) either: a. as amended by the Action 14 final report (OECD,  2015b); or b. as it read prior to the adoption of Action 14 final report  (OECD, 2015b), thereby including the full sentence of  such provision. Argentina should as quickly as possible ratify the  Multilateral Instrument to incorporate the equivalent to  Article 25(1), second sentence, of the OECD Model Tax  Convention (OECD, 2017) in this treaty.",2021,domestic_remedies_three_years
ARG,stage-2,[B.2],"A bilateral notification process is in in place to be  applied when the taxpayer’s objection raised in the MAP  request is considered not to be justified, for the 22 of the  26 treaties that do not contain a provision equivalent to  Article 25(1) of the OECD Model Tax Convention (OECD,  2017), as amended by the Action 14 final report (OECD,  2015b) and allowing taxpayers to submit a MAP request  to the competent authority of either treaty partners. This  process, however, is not documented.","Argentina should follow its stated intention and without  further delay document its bilateral notification process  and provide in that document rules of procedure on how  that process should be applied in practice, including the  steps to be followed and timing of these steps. Furthermore, Argentina should apply its notification  process for future cases in which its competent authority  considered the objection raised in a MAP request not to  be justified and when the tax treaty concerned does not  contain Article 25(1) of the OECD Model Tax Convention  (OECD, 2017) as amended by the Action 14 final report  (OECD, 2015b).",2021,request_either_ca
ARG,stage-2,[B.3],-,-,2021,access_tp
ARG,stage-2,[B.4],-,-,2021,access_anti_abuse
ARG,stage-2,[B.5],-,-,2021,access_audit_settlement
ARG,stage-2,[B.6],-,-,2021,access_information
ARG,stage-2,[B.7],"Seven out of 26 tax treaties do not contain a provision  that is equivalent to Article 25(3), second sentence, of  the OECD Model Tax Convention (OECD, 2017). Of  these seven treaties: •  Six are expected to be modified by the Multilateral  Instrument to include the required provision, upon  entry into force for the treaties concerned. •  One will not be modified by the Multilateral Instrument.  For this treaty, no actions have been taken nor are  any actions planned to be taken.","Argentina should as quickly as possible ratify the  Multilateral Instrument to incorporate the equivalent  to Article 25(3), second sentence, of the OECD Model  Tax Convention (OECD, 2017) in those six treaties that  currently do not contain such equivalent and that will be  modified by the Multilateral Instrument upon its entry into  force for the treaties concerned. For the remaining treaty that will not be modified by  the Multilateral Instrument to include the equivalent of  Article 25(3), second sentence, of the OECD Model Tax  Convention (OECD, 2017), Argentina should without  further delay request the inclusion of the required  provision via a bilateral negotiation.",2021,double_taxation_other_than_treaty
ARG,stage-2,[B.8],"There is no published MAP guidance. No MAP guidance is available on what information  taxpayers should include in their MAP request, while it is  included in the domestic law.","Argentina should without further delay introduce and  publish guidance on access to and use of the MAP,  and in particular include the contact information of its  competent authority. Argentina should include in its to be published MAP  guidance information on the manner and form in which  taxpayers should submit their MAP request.",2021,guidelines_on_access
ARG,stage-2,[B.9],MAP guidance is not publicly available.,"Argentina should, once it has issued MAP guidance,  make this guidance publicly available and easily  accessible and its MAP profile published on the shared  public platform should be updated if needed.",2021,publish_MAP_profile
ARG,stage-2,[B.10],-,-,2021,access_audit_settlement_in_guidelines
ARG,stage-2,[C.1],"Two out of 26 tax treaties do not contain a provision  that is equivalent to Article 25(2), first sentence, of the  OECD Model Tax Convention (OECD, 2017). Of these  two treaties: •  One is expected to be modified by the Multilateral  Instrument to include the required provision upon  entry into force for the treaty concerned. •  One will not be modified by the Multilateral  Instrument. For this treaty no actions have been taken  nor are any actions planned to be taken.","Argentina should as quickly as possible ratify the  Multilateral Instrument to incorporate the equivalent to  Article 25(2), first sentence, of the OECD Model Tax  Convention (OECD, 2017) in the one treaty that currently  does not contain such equivalent and that will be  modified by the Multilateral Instrument upon its entry into  force for the treaty concerned. For the remaining treaty that will not be modified by  the Multilateral Instrument to include the equivalent of  Article 25(2), first sentence, of the OECD Model Tax  Convention (OECD, 2017), Argentina should without  further delay request the inclusion of the required  provision via bilateral negotiations.",2021,treaty_provision_resolution
ARG,stage-2,[C.2],-,-,2021,resolution_24_months
ARG,stage-2,[C.3],"Although MAP cases were closed within 24 months on  average (which is the pursued average for resolving  MAP cases received on or after 1 January 2016),  the MAP caseload has increased substantially since  1 January 2016. This indicates that the competent  authority may not be adequately resourced, and  because of that there is a risk that pending or future  MAP cases cannot be resolved in a timely, effective and  efficient manner.","Argentina should devote additional resources to its  competent authority to handle MAP cases to be able  to cope with the increase in the number of attribution/ allocation and other MAP cases, such to be able to  resolve all MAP cases in a timely, efficient and effective  manner.",2021,resources_MAP_function
ARG,stage-2,[C.4],-,-,2021,independence_MAP_function
ARG,stage-2,[C.5],-,-,2021,performance_indicators
ARG,stage-2,[C.6],-,-,2021,arbitration_position
ARG,stage-2,[D.1],-,-,2021,implementing_agreements
ARG,stage-2,[D.2],-,-,2021,timely_implementation
ARG,stage-2,[D.3],"Eight out of 26 tax treaties contain neither a provision  that is equivalent to Article 25(2), second sentence, of  the OECD Model Tax Convention (OECD, 2017) nor any  of the alternative provisions provided for in Article 9(1)  and Article 7(2). Of these eight treaties: •  Four are expected to be modified by the Multilateral  Instrument to include the required provision upon  entry into force for the treaties concerned. •  One is expected to be modified by the Multilateral  Instrument to include the equivalent to Article 25(2),  second sentence, of the OECD Model Tax Convention  (OECD, 2017) once the treaty partner has amended  its notifications. •  Three will not be modified by the Multilateral  Instrument to include the required provision. With  respect to these three treaties: -  For one negotiations were finalised. -  For one no actions have been taken, but it is  included in the plan for renegotiations. -  For one no actions have been taken nor are any  actions planned to be taken.","Argentina should as quickly as possible ratify the  Multilateral Instrument to incorporate the equivalent  to Article 25(2), second sentence, of the OECD Model  Tax Convention (OECD, 2017) in those six treaties that  currently do not contain such equivalent and that will be  modified by the Multilateral Instrument upon its entry into  force for four of the five treaties concerned and once  one treaty partner has amended its notifications under  that instrument. For the three remaining treaties that will not be modified  by the Multilateral Instrument to include the equivalent of  Article 25(2), second sentence, of the OECD Model Tax  Convention (OECD, 2017), Argentina should: •  sign the negotiated treaty as soon as possible with  the treaty partner for which negotiations have been  finalised to include the required provision via bilateral  negotiations •  request the inclusion of the required provision via  bilateral negotiations in accordance with its plan for  renegotiations or be willing to accept the inclusion of  both alternative provisions •  without further delay request the inclusion of the  required provision via bilateral negotiations or be  willing to accept the inclusion of both alternative  provisions in the remaining treaty.",2021,implementation_notwithstanding_time_limits
