response,detailed_explanation,links,new_row,iso3c,date,year,short_codes,taxpayer_friendly_answers,action_14,action_14_numbers,category,comb_rate,number_treaties,taxpayer_friendliness
yes,-,-,33,AND,2018-05-22,2018,multi_year_resolution,,bp,[B.P.9],resolution,10,9,1
yes,-,-,34,AND,2018-05-22,2018,corresponding_adjustment_all_treaties,,bp,[B.P.12],resolution,10,9,1
no,-,-,35,AND,2018-05-22,2018,resolution_other_info,,NA,NA,resolution,10,9,NA
no,"So far, Andorra has not reached any MAP agreement. However, Andorra is currently studying this matter in order to develop MAP regulations aligned with Action 14 BEPS.",-,36,AND,2018-05-22,2018,additional_tax_timeframe_info,,NA,NA,implementation,10,9,0
no,"So far, Andorra has not reached any MAP agreement. However, Andorra is currently studying this matter in order to develop MAP regulations aligned with Action 14 BEPS.",-,37,AND,2018-05-22,2018,refund_timeframe_info,,NA,NA,implementation,10,9,0
NA,"So far, Andorra has not reached any MAP agreement.",-,38,AND,2018-05-22,2018,implementation_notwithstanding_time,,min_std_mod,NA,implementation,10,9,0
no,-,-,39,AND,2018-05-22,2018,implementation_other_info,,NA,NA,implementation,10,9,NA
yes,"Agreements reached by the competent authority to resolve difficulties or doubts arising as to the interpretation or application of our tax treaties should be published as circulars in the same way as other circulars in which the Andorra tax administration publishes its understanding of domestic tax law. So far, Andorra has only published binding consultations related to the interpretation or application of the tax treaties but no technical communiqués or specific agreements have been made/published.","https://www.impostos.ad/comunic
ats-tecnics-i-consultes-vinculants",1,AND,2021-08-19,2021,publication_map_general_nature,,bp,[B.P.2],preventing_disputes,10,9,1
no,-,-,2,AND,2021-08-19,2021,bil_apa_available,,bp,[B.P.1],preventing_disputes,10,9,0
n/a,-,-,3,AND,2021-08-19,2021,bil_apa_roll_back,,NA,NA,preventing_disputes,10,9,0
n/a,-,-,4,AND,2021-08-19,2021,bil_apa_timeline,,NA,NA,preventing_disputes,10,9,0
n/a,-,-,5,AND,2021-08-19,2021,bil_apa_info_available,,bp,[B.P.3],preventing_disputes,10,9,0
n/a,-,-,6,AND,2021-08-19,2021,bil_apa_fees,,NA,NA,preventing_disputes,10,9,0
n/a,-,-,7,AND,2021-08-19,2021,bil_apa_statistics,,NA,NA,preventing_disputes,10,9,0
yes,All agents of the Andorran tax administration have received training related to tax treaties. In 2020 it is planned to carry out a more specific and detailed training on tax treaties that will be addressed to agents specialised on these issues.,-,8,AND,2021-08-19,2021,training_officials,,bp,[B.P.4],preventing_disputes,10,9,1
no,-,-,9,AND,2021-08-19,2021,other_info_available,,NA,NA,preventing_disputes,10,9,NA
yes,All Andorra’s tax treaties have a ‘Mutual Agreement Procedure’ article and all of them includes article 9(2).,"https://www.finances.ad/regulatio
ns",10,AND,2021-08-19,2021,access_tp,,min_std,[B.3],availability_access,10,9,1
yes,-,-,11,AND,2021-08-19,2021,access_anti_abuse_treaty,,NA,NA,availability_access,10,9,1
yes,"Domestic anti-abuse provisions are dealt with based on the domestic legislation and judicial proceedings. However, the above mentioned does not restrict access to MAP.",-,12,AND,2021-08-19,2021,access_anti_abuse_domestic,,NA,NA,availability_access,10,9,1
NA,Andorra is currently studying this matter in order to develop MAP regulations and guidance aligned with Action 14 BEPS.,-,13,AND,2021-08-19,2021,access_audit_settlement,,min_std_mod,[B.5],availability_access,10,9,0
NA,Andorra is currently studying this matter in order to develop MAP regulations and guidance aligned with Action 14 BEPS.,-,14,AND,2021-08-19,2021,access_taxpayer_adjustment,,bp,[B.P.6],availability_access,10,9,0
no,NA,-,15,AND,2021-08-19,2021,access_other,,NA,NA,availability_access,10,9,1
NA,"Andorra is currently studying this matter in order to develop MAP regulations and guidance aligned with Action 14 BEPS. However, we can advance that in Andorra, while the judicial process is still ongoing, taxpayers would be allow to request MAP assistance as long as the proceedings remain suspended.",-,16,AND,2021-08-19,2021,access_domestic_remedies,,NA,NA,availability_access,10,9,0
NA,"Andorra is currently studying this matter in order to develop MAP regulations and guidance aligned with Action 14 BEPS. However, we can advance that in Andorra, if the decision has been taken via the judicial remedies with a final judgment without the possibility of appeal, the tax administration cannot act anymore.",NA,17,AND,2021-08-19,2021,access_domestic_decision,,NA,NA,availability_access,10,9,0
NA,Andorra is currently working in the development of guidance and regulations on MAP that will be publicly available.,NA,18,AND,2021-08-19,2021,access_info_public,,min_std,[B.6],availability_access,10,9,0
yes,The Andorra’s DTAs adhere to the three-year filing deadline for a request for mutual agreement procedure as provided in article 25(1) of the OECD Model Convention.,"https://www.finances.ad/regulatio
ns",19,AND,2021-08-19,2021,access_timeline,,NA,NA,availability_access,10,9,0
no,NA,-,20,AND,2021-08-19,2021,guidance_multilateral_map,,bp,[B.P.7],availability_access,10,9,0
NA,"Andorra is currently studying this matter in order to develop MAP regulations and guidance. However, we inform you that the Andorran Law 21/2014, of 16 October, on Taxation provides for the suspension of tax collection procedures in cases of appealing domestic administrative proceedings (as long as the taxpayer provides of sufficient guarantee to cover the fee, interest, surcharges and penalties against which the appeal is being lodged) but MAP cases are not covered by this provision. We are studying the possibility of extending this provision to MAP cases, which would require the modification of Law 21/2014, of 16 October, on Taxation. In any case, we understand that the extension of this provision to MAP cases would need the same requirements as the domestic appealing (such as the provision of sufficient guarantee).",-,21,AND,2021-08-19,2021,tax_collection_suspended,,bp_mod,NA,availability_access,10,9,0
NA,"At present, no fees are provided to be charged to taxpayers for a MAP request but it could change as Andorra is currently studying this matter in the developing of MAP regulations and guidance.",-,22,AND,2021-08-19,2021,access_fees,,NA,NA,availability_access,10,9,0
no,-,-,23,AND,2021-08-19,2021,access_other_info,,NA,NA,availability_access,10,9,NA
no,Andorra is currently studying this matter in order to develop MAP guidance and regulations aligned with Action 14 BEPS.,-,24,AND,2021-08-19,2021,resolution_timeframes,,min_std,NA,resolution,10,9,0
no,"As Andorra has never been involved in any MAP case, no statistics relating to the time to resolve MAP cases exist.",-,25,AND,2021-08-19,2021,map_statistics,,NA,NA,resolution,10,9,0
NA,"So far, Andorra has not reached any MAP agreement. However, Andorra is currently studying this matter in the developing of MAP regulations and guidance.",-,26,AND,2021-08-19,2021,interest_penalties,,NA,NA,resolution,10,9,0
no,Andorra is currently studying this matter in order to develop MAP regulations aligned with Action 14 BEPS.,-,27,AND,2021-08-19,2021,roles_public,,NA,NA,resolution,10,9,0
no,"None of Andorra’s tax treaties contains an arbitration provision. However, Andorra chose to apply Part VI in its Multilateral Instrument Notification. On June 7th, 2017 Andorra signed the MLI and is currently working in the ratification process.",-,28,AND,2021-08-19,2021,arbitration_any_treaty,,NA,NA,resolution,10,9,0
no,-,-,29,AND,2021-08-19,2021,arbitration_constitutional_limit,,NA,NA,resolution,10,9,1
yes,-,-,30,AND,2021-08-19,2021,arbitration_treaty_policy,,NA,NA,resolution,10,9,1
no,Andorra is currently studying this matter in order to develop MAP regulations aligned with Action 14 BEPS.,-,31,AND,2021-08-19,2021,domestic_remedies_info,,bp,[B.P.10],resolution,10,9,0
n/a,-,-,32,AND,2021-08-19,2021,domestic_remedies_binding_info,,NA,NA,resolution,10,9,0
NA,Andorra is currently studying this matter in order to develop MAP guidance and regulations.,NA,33,AND,2021-08-19,2021,multi_year_resolution,,bp,[B.P.9],resolution,10,9,0
yes,NA,"https://www.finances.ad/regulatio
ns",34,AND,2021-08-19,2021,corresponding_adjustment_all_treaties,,bp,[B.P.12],resolution,10,9,1
no,-,-,35,AND,2021-08-19,2021,resolution_other_info,,NA,NA,resolution,10,9,NA
no,"So far, Andorra has not reached any MAP agreement. However, Andorra is currently studying this matter in order to develop MAP guidance and regulations.",-,36,AND,2021-08-19,2021,additional_tax_timeframe_info,,NA,NA,implementation,10,9,0
no,"So far, Andorra has not reached any MAP agreement. However, Andorra is currently studying this matter in order to develop MAP regulations aligned with Action 14 BEPS.",-,37,AND,2021-08-19,2021,refund_timeframe_info,,NA,NA,implementation,10,9,0
NA,"So far, Andorra has not reached any MAP agreement.",-,38,AND,2021-08-19,2021,implementation_notwithstanding_time,,min_std_mod,NA,implementation,10,9,0
no,-,-,39,AND,2021-08-19,2021,implementation_other_info,,NA,NA,implementation,10,9,NA
yes,"Agreements reached by the competent authority to resolve difficulties or doubts arising as to the interpretation or application of our tax treaties should be published as circulars in the same way as other circulars in which the Andorra tax administration publishes its understanding of domestic tax law. So far, Andorra has only published binding consultations related to the interpretation or application of the tax treaties but no technical communiqués or specific agreements have been made/published.","https://www.impostos.ad/comunic
ats-tecnics-i-consultes-vinculants",1,AND,2022-06-21,2022,publication_map_general_nature,,bp,[B.P.2],preventing_disputes,10,9,1
no,-,-,2,AND,2022-06-21,2022,bil_apa_available,,bp,[B.P.1],preventing_disputes,10,9,0
n/a,-,-,3,AND,2022-06-21,2022,bil_apa_roll_back,,NA,NA,preventing_disputes,10,9,0
n/a,-,-,4,AND,2022-06-21,2022,bil_apa_timeline,,NA,NA,preventing_disputes,10,9,0
n/a,-,-,5,AND,2022-06-21,2022,bil_apa_info_available,,bp,[B.P.3],preventing_disputes,10,9,0
n/a,-,-,6,AND,2022-06-21,2022,bil_apa_fees,,NA,NA,preventing_disputes,10,9,0
n/a,-,-,7,AND,2022-06-21,2022,bil_apa_statistics,,NA,NA,preventing_disputes,10,9,0
yes,All agents of the Andorran tax administration have received training related to tax treaties. In 2020 it is planned to carry out a more specific and detailed training on tax treaties that will be addressed to agents specialised on these issues.,-,8,AND,2022-06-21,2022,training_officials,,bp,[B.P.4],preventing_disputes,10,9,1
no,-,-,9,AND,2022-06-21,2022,other_info_available,,NA,NA,preventing_disputes,10,9,NA
yes,All Andorra’s tax treaties have a ‘Mutual Agreement Procedure’ article and all of them includes article 9(2).,"https://www.finances.ad/regulatio
ns",10,AND,2022-06-21,2022,access_tp,,min_std,[B.3],availability_access,10,9,1
yes,-,-,11,AND,2022-06-21,2022,access_anti_abuse_treaty,,NA,NA,availability_access,10,9,1
yes,"Domestic anti-abuse provisions are dealt with based on the domestic legislation and judicial proceedings. However, the above mentioned does not restrict access to MAP.",-,12,AND,2022-06-21,2022,access_anti_abuse_domestic,,NA,NA,availability_access,10,9,1
NA,Andorra is currently studying this matter in order to develop MAP regulations and guidance aligned with Action 14 BEPS.,-,13,AND,2022-06-21,2022,access_audit_settlement,,min_std_mod,[B.5],availability_access,10,9,0
NA,Andorra is currently studying this matter in order to develop MAP regulations and guidance aligned with Action 14 BEPS.,-,14,AND,2022-06-21,2022,access_taxpayer_adjustment,,bp,[B.P.6],availability_access,10,9,0
no,NA,-,15,AND,2022-06-21,2022,access_other,,NA,NA,availability_access,10,9,1
NA,"Andorra is currently studying this matter in order to develop MAP regulations and guidance aligned with Action 14 BEPS. However, we can advance that in Andorra, while the judicial process is still ongoing, taxpayers would be allow to request MAP assistance as long as the proceedings remain suspended.",-,16,AND,2022-06-21,2022,access_domestic_remedies,,NA,NA,availability_access,10,9,0
NA,"Andorra is currently studying this matter in order to develop MAP regulations and guidance aligned with Action 14 BEPS. However, we can advance that in Andorra, if the decision has been taken via the judicial remedies with a final judgment without the possibility of appeal, the tax administration cannot act anymore.",NA,17,AND,2022-06-21,2022,access_domestic_decision,,NA,NA,availability_access,10,9,0
NA,Andorra is currently working in the development of guidance and regulations on MAP that will be publicly available.,NA,18,AND,2022-06-21,2022,access_info_public,,min_std,[B.6],availability_access,10,9,0
yes,The Andorra’s DTAs adhere to the three-year filing deadline for a request for mutual agreement procedure as provided in article 25(1) of the OECD Model Convention.,"https://www.finances.ad/regulatio
ns",19,AND,2022-06-21,2022,access_timeline,,NA,NA,availability_access,10,9,0
no,NA,-,20,AND,2022-06-21,2022,guidance_multilateral_map,,bp,[B.P.7],availability_access,10,9,0
NA,"Andorra is currently studying this matter in order to develop MAP regulations and guidance. However, we inform you that the Andorran Law 21/2014, of 16 October, on Taxation provides for the suspension of tax collection procedures in cases of appealing domestic administrative proceedings (as long as the taxpayer provides of sufficient guarantee to cover the fee, interest, surcharges and penalties against which the appeal is being lodged) but MAP cases are not covered by this provision. We are studying the possibility of extending this provision to MAP cases, which would require the modification of Law 21/2014, of 16 October, on Taxation. In any case, we understand that the extension of this provision to MAP cases would need the same requirements as the domestic appealing (such as the provision of sufficient guarantee).",-,21,AND,2022-06-21,2022,tax_collection_suspended,,bp_mod,NA,availability_access,10,9,0
NA,"At present, no fees are provided to be charged to taxpayers for a MAP request but it could change as Andorra is currently studying this matter in the developing of MAP regulations and guidance.",-,22,AND,2022-06-21,2022,access_fees,,NA,NA,availability_access,10,9,0
no,-,-,23,AND,2022-06-21,2022,access_other_info,,NA,NA,availability_access,10,9,NA
no,Andorra is currently studying this matter in order to develop MAP guidance and regulations aligned with Action 14 BEPS.,-,24,AND,2022-06-21,2022,resolution_timeframes,,min_std,NA,resolution,10,9,0
no,"As Andorra has never been involved in any MAP case, no statistics relating to the time to resolve MAP cases exist.",-,25,AND,2022-06-21,2022,map_statistics,,NA,NA,resolution,10,9,0
NA,"So far, Andorra has not reached any MAP agreement. However, Andorra is currently studying this matter in the developing of MAP regulations and guidance.",-,26,AND,2022-06-21,2022,interest_penalties,,NA,NA,resolution,10,9,0
no,Andorra is currently studying this matter in order to develop MAP regulations aligned with Action 14 BEPS.,-,27,AND,2022-06-21,2022,roles_public,,NA,NA,resolution,10,9,0
no,"None of Andorra’s tax treaties contains an arbitration provision. However, Andorra chose to apply Part VI in its Multilateral Instrument Notification. On June 7th, 2017 Andorra signed the MLI and is currently working in the ratification process.",-,28,AND,2022-06-21,2022,arbitration_any_treaty,,NA,NA,resolution,10,9,0
no,-,-,29,AND,2022-06-21,2022,arbitration_constitutional_limit,,NA,NA,resolution,10,9,1
yes,-,-,30,AND,2022-06-21,2022,arbitration_treaty_policy,,NA,NA,resolution,10,9,1
no,Andorra is currently studying this matter in order to develop MAP regulations aligned with Action 14 BEPS.,-,31,AND,2022-06-21,2022,domestic_remedies_info,,bp,[B.P.10],resolution,10,9,0
n/a,-,-,32,AND,2022-06-21,2022,domestic_remedies_binding_info,,NA,NA,resolution,10,9,0
NA,Andorra is currently studying this matter in order to develop MAP guidance and regulations.,NA,33,AND,2022-06-21,2022,multi_year_resolution,,bp,[B.P.9],resolution,10,9,0
yes,NA,"https://www.finances.ad/regulatio
ns",34,AND,2022-06-21,2022,corresponding_adjustment_all_treaties,,bp,[B.P.12],resolution,10,9,1
no,-,-,35,AND,2022-06-21,2022,resolution_other_info,,NA,NA,resolution,10,9,NA
no,"So far, Andorra has not reached any MAP agreement. However, Andorra is currently studying this matter in order to develop MAP guidance and regulations.",-,36,AND,2022-06-21,2022,additional_tax_timeframe_info,,NA,NA,implementation,10,9,0
no,"So far, Andorra has not reached any MAP agreement. However, Andorra is currently studying this matter in order to develop MAP regulations aligned with Action 14 BEPS.",-,37,AND,2022-06-21,2022,refund_timeframe_info,,NA,NA,implementation,10,9,0
NA,"So far, Andorra has not reached any MAP agreement.",-,38,AND,2022-06-21,2022,implementation_notwithstanding_time,,min_std_mod,NA,implementation,10,9,0
no,-,-,39,AND,2022-06-21,2022,implementation_other_info,,NA,NA,implementation,10,9,NA
yes,They are published at the Ministry of Foreign Affairs webpage.,"http://tratados.mrecic.gov.
ar",1,ARG,2018-09-04,2018,publication_map_general_nature,,bp,[B.P.2],preventing_disputes,30,21,1
no,"The law allows to celebrate bilateral APAs, however, for this to be implemented a regulation is needed. The Tax Administration is currently preparing it.",-,2,ARG,2018-09-04,2018,bil_apa_available,,bp,[B.P.1],preventing_disputes,30,21,0
yes,Roll-backs implementation is not addressed by law.,-,3,ARG,2018-09-04,2018,bil_apa_roll_back,,NA,NA,preventing_disputes,30,21,1
no,The regulation will clarify this item.,-,4,ARG,2018-09-04,2018,bil_apa_timeline,,NA,NA,preventing_disputes,30,21,1
no,Guidelines are to be published when all regulations are finalized.,-,5,ARG,2018-09-04,2018,bil_apa_info_available,,bp,[B.P.3],preventing_disputes,30,21,0
no,No fees are expected.,-,6,ARG,2018-09-04,2018,bil_apa_fees,,NA,NA,preventing_disputes,30,21,1
no,There have been no APAs presented to the authorities yet.,-,7,ARG,2018-09-04,2018,bil_apa_statistics,,NA,NA,preventing_disputes,30,21,0
yes,-,-,8,ARG,2018-09-04,2018,training_officials,,bp,[B.P.4],preventing_disputes,30,21,1
no,-,-,9,ARG,2018-09-04,2018,other_info_available,,NA,NA,preventing_disputes,30,21,NA
yes,-,-,10,ARG,2018-09-04,2018,access_tp,,min_std,[B.3],availability_access,30,21,1
yes,-,-,11,ARG,2018-09-04,2018,access_anti_abuse_treaty,,NA,NA,availability_access,30,21,1
yes,Only if there is a dispute on whether a tax treaty provision may be affected by the application of the domestic anti- abuse rule.,-,12,ARG,2018-09-04,2018,access_anti_abuse_domestic,,NA,NA,availability_access,30,21,1
n/a,Audit settlements are not allowed by domestic laws.,-,13,ARG,2018-09-04,2018,access_audit_settlement,,min_std_mod,[B.5],availability_access,30,21,1
yes,-,-,14,ARG,2018-09-04,2018,access_taxpayer_adjustment,,bp,[B.P.6],availability_access,30,21,1
no,There is no issue excluded from MAP.,-,15,ARG,2018-09-04,2018,access_other,,NA,NA,availability_access,30,21,1
yes,The law allows to present a MAP case and an administrative or judicial remedy simultaneously.,-,16,ARG,2018-09-04,2018,access_domestic_remedies,,NA,NA,availability_access,30,21,1
yes,"Although the Competent Authority is not able to depart from judicial rulings, MAP cases can be opened and discussed with the other Competent Authority. When a domestic court case is presented before a MAP, the competent authority would accept the case and analyse it. Neither the procedure nor the judicial case are suspended. In the event that a final judicial ruling is issued before the opening of a MAP case (in practice this quite unlikely since judicial remedies take several years before a final decision is issued, taking into account that decisions are normally appealed.), the competent authority would not deny formal access to MAP, but it won’t be able to deviate from the court decision. If the other competent authority considers that the judicial decision is not in accordance with the tax treaty, probably the case would be closed not fully eliminating the double taxation.",-,17,ARG,2018-09-04,2018,access_domestic_decision,,NA,NA,availability_access,30,21,1
no,The procedural regulation on MAP has not been approved yet.,-,18,ARG,2018-09-04,2018,access_info_public,,min_std,[B.6],availability_access,30,21,0
yes,"Three years or the time limit provided for in the tax treaty, from the notification of the measure that cause or might cause taxation not in accordance with the tax treaty.",-,19,ARG,2018-09-04,2018,access_timeline,,NA,NA,availability_access,30,21,0
no,-,-,20,ARG,2018-09-04,2018,guidance_multilateral_map,,bp,[B.P.7],availability_access,30,21,0
no,-,-,21,ARG,2018-09-04,2018,tax_collection_suspended,,bp_mod,NA,availability_access,30,21,0
no,-,-,22,ARG,2018-09-04,2018,access_fees,,NA,NA,availability_access,30,21,1
no,-,-,23,ARG,2018-09-04,2018,access_other_info,,NA,NA,availability_access,30,21,NA
no,-,-,24,ARG,2018-09-04,2018,resolution_timeframes,,min_std,NA,resolution,30,21,0
yes,-,"http://www.oecd.org/tax/dispute/argentina-
2016-mutual-agreement-procedure-
statistics.pdf",25,ARG,2018-09-04,2018,map_statistics,,NA,NA,resolution,30,21,1
no,"Penalties and interest may be waived as long as the result of the MAP on the principal is favourable to the taxpayer, we do not foresee a case that interest and penalties could be addressed independently from the principal. If factual circumstances show that the taxation in Argentina was not in accordance with the tax treaty, no interest or penalties might be applied.",-,26,ARG,2018-09-04,2018,interest_penalties,,NA,NA,resolution,30,21,0
no,-,-,27,ARG,2018-09-04,2018,roles_public,,NA,NA,resolution,30,21,0
no,"As a general policy Argentina is not prepared to provide an extension of jurisdiction in any international agreement that involves State affairs, because of that, it is not possible for us to accept arbitration in tax treaties.",-,28,ARG,2018-09-04,2018,arbitration_any_treaty,,NA,NA,resolution,30,21,0
no,-,-,29,ARG,2018-09-04,2018,arbitration_constitutional_limit,,NA,NA,resolution,30,21,1
no,-,-,30,ARG,2018-09-04,2018,arbitration_treaty_policy,,NA,NA,resolution,30,21,0
no,There is no explanation but the law provides that both procedures may coexist and maps are binding for the tax administration.,-,31,ARG,2018-09-04,2018,domestic_remedies_info,,bp,[B.P.10],resolution,30,21,0
n/a,-,-,32,ARG,2018-09-04,2018,domestic_remedies_binding_info,,NA,NA,resolution,30,21,0
yes,-,-,33,ARG,2018-09-04,2018,multi_year_resolution,,bp,[B.P.9],resolution,30,21,1
no,"Tax treaties concluded with Bolivia, Brazil, Germany, France, Italy, and Switzerland do not include a provision which oblige the Competent Authority to make corresponding adjustments. It is expected to be amended by the Multilateral Instrument once it has entered into force for Argentina.",-,34,ARG,2018-09-04,2018,corresponding_adjustment_all_treaties,,bp,[B.P.12],resolution,30,21,0
no,-,-,35,ARG,2018-09-04,2018,resolution_other_info,,NA,NA,resolution,30,21,NA
no,-,-,36,ARG,2018-09-04,2018,additional_tax_timeframe_info,,NA,NA,implementation,30,21,0
no,-,-,37,ARG,2018-09-04,2018,refund_timeframe_info,,NA,NA,implementation,30,21,0
no,"Tax treaties concluded with Belgium, Bolivia, Brazil, Canada, Chile, Denmark, Germany, Italy, Mexico, United Kingdom, Russia, and Switzerland do not overrule the time limits provided for in the domestic laws. In most cases, it is expected to be amended by the Multilateral Instrument once it has entered into force for Argentina.",-,38,ARG,2018-09-04,2018,implementation_notwithstanding_time,,min_std_mod,NA,implementation,30,21,0
no,-,-,39,ARG,2018-09-04,2018,implementation_other_info,,NA,NA,implementation,30,21,NA
yes,They are published at the Ministry of Foreign Affairs webpage.,"http://tratados.mrecic.gov.
ar",1,ARG,2020-11-16,2020,publication_map_general_nature,,bp,[B.P.2],preventing_disputes,30,21,1
no,"The law allows to celebrate bilateral APAs, however, for this to be implemented a regulation is needed. The Tax Administration is currently preparing it.",-,2,ARG,2020-11-16,2020,bil_apa_available,,bp,[B.P.1],preventing_disputes,30,21,0
yes,Roll-backs implementation is not addressed by law.,-,3,ARG,2020-11-16,2020,bil_apa_roll_back,,NA,NA,preventing_disputes,30,21,1
no,The regulation will clarify this item.,-,4,ARG,2020-11-16,2020,bil_apa_timeline,,NA,NA,preventing_disputes,30,21,1
no,Guidelines are to be published when all regulations are finalized.,-,5,ARG,2020-11-16,2020,bil_apa_info_available,,bp,[B.P.3],preventing_disputes,30,21,0
no,No fees are expected.,-,6,ARG,2020-11-16,2020,bil_apa_fees,,NA,NA,preventing_disputes,30,21,1
no,There have been no APAs presented to the authorities yet.,-,7,ARG,2020-11-16,2020,bil_apa_statistics,,NA,NA,preventing_disputes,30,21,0
yes,-,-,8,ARG,2020-11-16,2020,training_officials,,bp,[B.P.4],preventing_disputes,30,21,1
no,-,-,9,ARG,2020-11-16,2020,other_info_available,,NA,NA,preventing_disputes,30,21,NA
yes,-,-,10,ARG,2020-11-16,2020,access_tp,,min_std,[B.3],availability_access,30,21,1
yes,-,-,11,ARG,2020-11-16,2020,access_anti_abuse_treaty,,NA,NA,availability_access,30,21,1
yes,Only if there is a dispute on whether a tax treaty provision may be affected by the application of the domestic anti- abuse rule.,-,12,ARG,2020-11-16,2020,access_anti_abuse_domestic,,NA,NA,availability_access,30,21,1
n/a,Audit settlements are not allowed by domestic laws.,-,13,ARG,2020-11-16,2020,access_audit_settlement,,min_std_mod,[B.5],availability_access,30,21,1
