iso3c,year
MNE,2020
MSR,2020
MAR,2020
NAM,2020
NLD,2020
NZL,2020
NGA,2020
MKD,2020
NOR,2020
OMN,2020
PAK,2020
PAN,2020
PNG,2020
PRY,2020
PER,2020
POL,2020
PRT,2020
QAT,2020
ROU,2020
RUS,2020
KNA,2020
LCA,2020
VCT,2020
SMR,2020
SAU,2020
SEN,2020
SRB,2020
SYC,2020
SLE,2020
SGP,2020
SVK,2020
SVN,2020
ZAF,2020
ESP,2020
LKA,2020
SWE,2020
CHE,2020
THA,2020
TTO,2020
TUN,2020
TUR,2020
TCA,2020
UKR,2020
ARE,2020
GBR,2020
USA,2020
URY,2020
VNM,2020
ZMB,2020
ALB,2021
AND,2021
AGO,2021
AIA,2021
ATG,2021
ARG,2021
ARM,2021
ABW,2021
AUS,2021
AUT,2021
BHS,2021
BHR,2021
BRB,2021
BLR,2021
BEL,2021
BLZ,2021
BEN,2021
BMU,2021
BIH,2021
BWA,2021
BRA,2021
VGB,2021
BRN,2021
BGR,2021
BFA,2021
CPV,2021
CMR,2021
CAN,2021
CYM,2021
CHL,2021
CHN,2021
COL,2021
COG,2021
COK,2021
CRI,2021
CIV,2021
HRV,2021
CUW,2021
CZE,2021
COD,2021
DNK,2021
DJI,2021
DMA,2021
DOM,2021
EGY,2021
EST,2021
SWZ,2021
FRO,2021
FIN,2021
FRA,2021
GAB,2021
GEO,2021
DEU,2021
GIB,2021
GRC,2021
GRL,2021
GRD,2021
GGY,2021
HTI,2021
HND,2021
HKG,2021
HUN,2021
ISL,2021
IND,2021
IDN,2021
IRL,2021
IMN,2021
ISR,2021
ITA,2021
JAM,2021
JPN,2021
JEY,2021
JOR,2021
KAZ,2021
KEN,2021
KOR,2021
LVA,2021
LBR,2021
LIE,2021
LTU,2021
LUX,2021
MAC,2021
MYS,2021
MDV,2021
MLT,2021
MUS,2021
MEX,2021
MCO,2021
MNG,2021
MNE,2021
MSR,2021
MAR,2021
NAM,2021
NLD,2021
NZL,2021
NGA,2021
MKD,2021
NOR,2021
OMN,2021
PAK,2021
PAN,2021
PNG,2021
PRY,2021
PER,2021
POL,2021
PRT,2021
QAT,2021
ROU,2021
RUS,2021
KNA,2021
LCA,2021
VCT,2021
WSM,2021
SMR,2021
SAU,2021
SEN,2021
SRB,2021
SYC,2021
SLE,2021
SGP,2021
SVK,2021
SVN,2021
ZAF,2021
ESP,2021
LKA,2021
SWE,2021
CHE,2021
THA,2021
TTO,2021
TUN,2021
TUR,2021
TCA,2021
UKR,2021
ARE,2021
GBR,2021
USA,2021
URY,2021
VNM,2021
ZMB,2021
