part,name,text,iso3c,phase
Part A,Domestic legal and administrative,"It is recommended that Brunei Darussalam take steps to implement a domestic legal and administrative framework to impose and enforce CbC requirements as soon as possible, taking into account its particular domestic legislative process.",BRN,2018
Part B,Exchange of information,"It is recommended that Brunei Darussalam take steps to enable exchanges under existing international agreements of CbC reports relating to the fiscal year 2018 (e.g. lodging a Unilateral Declaration in order to align the effective date of the Convention with first intended exchanges of CbC reports under the CbC MCAA, or relying on Double Tax Agreements or Tax Information and Exchange Agreements), sign the CbC MCAA or bilateral CAAs, and have QCAAs in effect with jurisdictions of the Inclusive Framework which meet the confidentiality, consistency and appropriate use prerequisites.",BRN,2018
Part C,Appropriate use,It is recommended that Brunei Darussalam take steps to ensure that the appropriate use condition is met ahead of the first exchanges of CbC reports.,BRN,2018
Part A,Domestic legal and administrative framework,-,BGR,2018
Part B,Exchange of information framework,-,BGR,2018
Part C,Appropriate use,-,BGR,2018
Part A,Domestic legal and administrative,"It is recommended that Cameroon finalise its domestic legal and administrative framework in relation to CbC requirements as soon as possible, taking into account its particular domestic legislative process.",CMR,2018
Part B,Exchange of information,"It is recommended that Cameroon take steps to sign the CbC MCAA and have QCAAs in effect with jurisdictions of the Inclusive Framework which meet the confidentiality, consistency and appropriate use prerequisites.",CMR,2018
Part C,Appropriate use,It is recommended that Cameroon take steps to ensure that the appropriate use condition is met ahead of the first exchanges of CbC reports.,CMR,2018
Part A,Domestic legal and administrative,It is recommended that Canada amend the local fling condition or otherwise take steps to ensure that the CbC Reporting local filing obligation will apply only in the circumstances contained in the terms of reference.,CAN,2018
Part B,Exchange of information,-,CAN,2018
Part C,Appropriate use,-,CAN,2018
Part A,Domestic legal and administrative,-,CYM,2018
Part B,Exchange of information,-,CYM,2018
Part C,Appropriate use,Not applicable.,CYM,2018
Part A,Domestic legal and administrative framework -,"It is recommended that Chile introduce the definition of an ""MNE Group"" in its legal and administrative framework.",CHL,2018
Part A,Domestic legal and administrative framework -,It is recommended that Chile amend or otherwise clarify the annual consolidated group revenue threshold calculation rule applies in a manner consistent with the terms of reference.,CHL,2018
Part A,Domestic legal and administrative framework,It is recommended that Chile introduce enforcement measures applicable to Surrogate Parent Entities.,CHL,2018
Part B,Exchange of information framework agreements,It is recommended that Chile brings the Convention into effect in relation to the fiscal year 2016 and / or continue to take steps to enable exchanges of CbC reports relating to the fiscal year 2016 under existing international agreements.,CHL,2018
Part C,Appropriate use,It is recommended that Chile take steps to ensure that the appropriate use condition is met ahead of the first exchanges of CbC reports.,CHL,2018
Part A,Domestic legal and,"It is recommended that China clarify the exact scope, conditions and legal basis for the filing exemption which relates to ""national security"". Scope and timing of parent entity filing - filing exemption",CHN,2018
Part A,Domestic legal and,It is recommended that China amend its legislation or otherwise takes steps to ensure that local filing is only required in the circumstances contained in the terms of reference. Limitation on local filing,CHN,2018
Part B,Exchange of information,It is recommended that China bring the Convention in effect as soon as possible and have Qualifying Competent Authority agreements in effect with jurisdictions of the Inclusive Framework that meet the confidentiality and consistency conditions.,CHN,2018
Part C,Appropriate use,"It is recommended that China take steps to ensure that the appropriate use condition is met as soon as possible, while noting that China will not exchange CbC reports in 2018.",CHN,2018
Part A,Domestic legal and administrative,-,COL,2018
Part B,Exchange of information,-,COL,2018
Part C,Appropriate use,Colombia is recommended to take steps to ensure that the appropriate use condition is met ahead of the first exchanges of CbC reports.,COL,2018
Part A,Domestic legal and administrative,It is recommended that Costa Rica complete its definition of “Ultimate Parent Entity” so that it is in line with the terms of reference. obligation,CRI,2018
Part A,Domestic legal and administrative,It is recommended that Costa Rica amend its rules or otherwise ensures that a CbC report is not filed later than 12 months after the end of the accounting period and not subsequently exchanged more than 15 months after the end of the accounting period with partner jurisdictions.,CRI,2018
Part B,Exchange of information,"It is recommended that Costa Rica continue to take steps to have Qualifying Competent Authority agreements in effect with jurisdictions of the Inclusive Framework that meet the confidentiality, appropriate use and consistency conditions.",CRI,2018
Part C,Appropriate use,Costa Rica is recommended to take steps to ensure that the appropriate use condition is met ahead of the first exchanges of CbC reports.,CRI,2018
Part A,Domestic legal and administrative,"It is recommended that Côte d’Ivoire finalise its domestic legal and administrative framework as soon as possible. Specifically, it is recommended that Côte d’Ivoire: - introduce or complete the definitions of an “Ultimate Parent Entity”, “MNE Group”, “Group” and “Constituent Entity” in a manner that is consistent with the terms of reference; - have enforcement measures in case of an incomplete or erroneous filing of a CbC report.",CIV,2018
Part B,Exchange of information,"It is recommended that Côte d’Ivoire take steps to put in place an exchange of information framework that allows Automatic Exchange of Information and have QCAAs in effect with jurisdictions of the Inclusive Framework which meet the confidentiality, consistency and appropriate use prerequisites.",CIV,2018
Part C,Appropriate use,It is recommended that Côte d’Ivoire take steps to ensure that the appropriate use condition is met ahead of the first exchanges of information.,CIV,2018
Part A,Domestic legal and administrative,-,HRV,2018
Part B,Exchange of information,-,HRV,2018
Part C,Appropriate use,It is recommended that Croatia take steps to ensure that the appropriate use condition is met ahead of the first exchanges of information.,HRV,2018
Part A,Domestic legal and administrative,"It is recommended that Curaçao finalise its domestic legal and administrative framework to impose and enforce CbC requirements as soon as possible, taking into account its particular domestic legislative process.",CUW,2018
Part B,Exchange of information,"It is recommended that Curaçao take steps to have Qualifying Competent Authority agreements in effect with jurisdictions of the Inclusive Framework that meet the confidentiality, consistency and appropriate use conditions.",CUW,2018
Part C,Appropriate use,It is recommended that Curaçao take steps to ensure that the appropriate use condition is met ahead of the first exchanges of information.,CUW,2018
Part A,Domestic legal and administrative,It is recommended that the Czech Republic amend or otherwise clarify that the annual consolidated group revenue threshold calculation rule applies without prejudice of the OECD guidance on currency fluctuations in respect of an MNE Group whose Ultimate Parent Entity is located in a jurisdiction other than the Czech Republic.,CZE,2018
Part A,Domestic legal and administrative,It is recommended that the Czech Republic amend its legislation or otherwise take steps to ensure that local filing is only required in the circumstances contained in the terms of reference.,CZE,2018
Part B,Exchange of information,-,CZE,2018
Part C,Appropriate use,It is recommended that the Czech Republic take steps to ensure that the appropriate use condition is met ahead of the first exchanges of information.,CZE,2018
Part A,Domestic legal and administrative,"It is recommended that the Democratic Republic of the Congo implement a domestic legal and administrative framework in relation to CbC requirements as soon as possible, taking into account its particular domestic legislative process.",COD,2018
Part B,Exchange of information,"It is recommended that the Democratic Republic of the Congo take steps to put in place an exchange of information framework that allows Automatic Exchange of Information and have QCAAs in effect with jurisdictions of the Inclusive Framework which meet the confidentiality, consistency and appropriate use prerequisites.",COD,2018
Part C,Appropriate use,It is recommended that the Democratic Republic of the Congo take steps to ensure that the appropriate use condition is met ahead of the first exchanges of CbC reports.,COD,2018
Part A,Parent entity filing obligation,-,DNK,2018
Part B,Exchange of information,-,DNK,2018
Part C,Appropriate use,-,DNK,2018
Part A,Domestic legal and administrative,"It is recommended that Egypt finalise its domestic legal and administrative framework in relation to CbC requirements as soon as possible, in particular in respect of the enforcement measures.",EGY,2018
Part B,Exchange of information,"It is recommended that Egypt take steps to put in place an exchange of information framework that allows Automatic Exchange of Information and have QCAAs in effect with jurisdictions of the Inclusive Framework which meet the confidentiality, consistency and appropriate use prerequisites.",EGY,2018
Part C,Appropriate use,It is recommended that Egypt take steps to ensure that the appropriate use condition is met ahead of the first exchanges of CbC reports.,EGY,2018
Part A,Domestic legal and administrative,-,EST,2018
Part B,Exchange of information,-,EST,2018
Part C,Appropriate use,-,EST,2018
Part A,Domestic legal and administrative framework,-,FIN,2018
Part B,Exchange of information framework,-,FIN,2018
Part C,Appropriate use,-,FIN,2018
Part A,Domestic legal and administrative,"It is recommended that France introduce a provision which would have an equivalent effect as the “deemed listing provision”, i.e. ensuring that all entities that are not legally required to prepare Consolidated Financial Statements (whether under commercial / company law, or under regulations governing the relevant stock exchange / market, or other) be included in the scope of the parent entity filing obligation.",FRA,2018
Part A,Domestic legal and administrative,It is recommended that France ensure that local filing only occurs in the circumstances contained in the terms of reference. filing obligation,FRA,2018
Part B,Exchange of information,-,FRA,2018
Part C,Appropriate use,It is recommended that France take steps to ensure that the appropriate use condition is met ahead of the first exchanges of information.,FRA,2018
Part A,Domestic legal and administrative,"It is recommended that Gabon finalise its domestic legal and administrative framework as soon as possible. Specifically, it is recommended that Gabon : - introduce or complete the definitions of an “Ultimate Parent Entity”, “MNE Group”, “Group” and “Constituent Entity” in a manner consistent with the terms of reference; - publish the administrative circular as soon as possible, prescribing all of, and only, the information as contained in the template in the Action 13 Report (OECD, 2015); - complete or otherwise clarify the scope of enforcement measures.",GAB,2018
Part B,Exchange of information,"It is recommended that Gabon take steps to ratify the Convention and have it in effect for taxable years starting as from 1 January 2017, and to sign the CbC MCAA and have QCAAs in effect with jurisdictions of the Inclusive Framework which meet the confidentiality, consistency and appropriate use prerequisites.",GAB,2018
Part C,Appropriate use,It is recommended that Gabon take steps to ensure that the appropriate use condition is met ahead of the first exchanges of CbC reports.,GAB,2018
Part A,Domestic legal and administrative,"It is recommended that Georgia take steps to implement a domestic legal and administrative framework to impose and enforce CbC requirements as soon as possible, taking into account its particular domestic legislative process.",GEO,2018
Part B,Exchange of information,It is recommended that Georgia take steps to have Qualifying Competent Authority agreements in effect with jurisdictions of the Inclusive Framework that meet the confidentiality and consistency conditions.,GEO,2018
Part C,Appropriate use,It is recommended that Georgia take steps to ensure that the appropriate use condition is met.,GEO,2018
Part A,Domestic legal and administrative,"For the purpose of the peer review of the jurisdictions of the Inclusive Framework for BEPS, it is recommended that Germany assess its local filing requirements and its impact in practice, and ensure that they would apply in scenarios that should not differ from paragraph 8 (c) iv. of the terms of reference (OECD, 2017b).",DEU,2018
Part B,Exchange of information framework,-,DEU,2018
Part C,Appropriate use,-,DEU,2018
Part A,Domestic legal and administrative,-,GRC,2018
Part B,Exchange of information,-,GRC,2018
Part C,Appropriate use,-,GRC,2018
Part A,Domestic legal and administrative framework,-,GGY,2018
Part B,Exchange of information framework,-,GGY,2018
Part C,Appropriate use,-,GGY,2018
Part A,Domestic legal and administrative,"It is recommended that Haiti finalise its domestic legal and administrative framework in relation to CbC requirements as soon as possible, taking into account its particular domestic legislative process.",HTI,2018
Part B,Exchange of information,"It is recommended that Haiti take steps to sign the Multilateral Convention on Mutual Administrative Assistance in Tax Matters: Amended by the 2010 Protocol (OECD/Council of Europe, 2011), and have QCAAs in effect with jurisdictions of the Inclusive Framework which meet the confidentiality, consistency and appropriate use prerequisites.",HTI,2018
Part C,Appropriate use,It is recommended that Haiti take steps to ensure that the appropriate use condition is met ahead of the first exchanges of CbC reports.,HTI,2018
Part A,Domestic legal and administrative,It is recommended that Hong Kong finalise its domestic legal and administrative framework to impose and enforce CbC requirements as soon as possible.,HKG,2018
Part B,Exchange of information,"It is recommended that Hong Kong complete its exchange of information framework that allows Automatic Exchange of Information and have QCAAs in effect with jurisdictions of the Inclusive Framework which meet the confidentiality, consistency and appropriate use prerequisites.",HKG,2018
Part C,Appropriate use,-,HKG,2018
Part A,Domestic legal and administrative,It is recommended that Hungary clarify that the annual consolidated group revenue threshold calculation rule applies without prejudice of the OECD guidance on currency fluctuations in respect of an MNE Group whose Ultimate Parent Entity is located in a jurisdiction other than Hungary.,HUN,2018
Part B,Exchange of information,-,HUN,2018
Part C,Appropriate use,It is recommended that Hungary take steps to ensure that the appropriate use condition is met ahead of the first exchanges of information.,HUN,2018
Part A,Domestic legal and administrative framework,"It is recommended that Iceland amend or otherwise clarify the definitions of an ""Ultimate Parent Entity"", a ""Constituent Entity"" and an ""MNE Group"" in a manner consistent with the definition contained in the terms of reference. Iceland indicates that it will make appropriate law /or regulations changes in order to fully comply.",ISL,2018
Part A,Domestic legal and administrative framework,It is recommended that Iceland clarify that the annual consolidated group revenue threshold calculation rule applies without prejudice of the OECD guidance on currency fluctuations in respect of an MNE Group whose Ultimate Parent Entity is located in a jurisdiction other than Iceland. Iceland indicates that it will make appropriate law/or regulation changes in order to fully comply.,ISL,2018
Part A,Domestic legal and administrative framework,It is recommended that Iceland clarify the scope of two conditions for local filing to ensure that local filing can only be required in the circumstances contained in the terms of reference. Iceland indicates that it will make appropriate law/or regulation changes in order to fully comply.,ISL,2018
Part A,Domestic legal and administrative framework,It is recommended that Iceland introduce rules providing that local filing will not apply in case of Surrogate Parent Entity. Iceland indicates that it will make appropriate law/or regulation changes in order to fully comply.,ISL,2018
Part B,Exchange of information,-,ISL,2018
Part C,Appropriate use,It is recommended that Iceland take steps to ensure that the appropriate use condition is met ahead of the first exchanges of CbC reports.,ISL,2018
Part A,Domestic legal and administrative,It is recommended that India amend or otherwise clarify that the annual consolidated group revenue threshold calculation rule applies without prejudice of the OECD guidance on currency fluctuations in respect of an MNE Group whose Ultimate Parent Entity is located in a jurisdiction other than India.,IND,2018
Part A,Domestic legal and administrative,It is recommended that India take steps to ensure that local filing can only be required in circumstances contained in the terms of reference. conditions,IND,2018
Part B,Exchange of information,-,IND,2018
Part C,Appropriate use,It is recommended that India take steps to ensure that the appropriate use condition is met ahead of the first exchanges of CbC reports.,IND,2018
Part A,Domestic legal and administrative,-,IDN,2018
Part B,Exchange of information,-,IDN,2018
Part C,Appropriate use,-,IDN,2018
Part A,Domestic legal and administrative,-,IRL,2018
Part B,Exchange of information,-,IRL,2018
Part C,Appropriate use,-,IRL,2018
Part A,Domestic legal and administrative framework,-,IMN,2018
Part B,Exchange of information framework,-,IMN,2018
Part C,Appropriate use,-,IMN,2018
Part A,Domestic legal and administrative,It is recommended that Israel take steps to implement a domestic legal and administrative framework to impose and enforce CbC requirements as soon as possible.,ISR,2018
Part B,Exchange of information,"It is recommended that Israel take steps to have QCAAs in effect with jurisdictions of the Inclusive Framework which meet the confidentiality, consistency and appropriate use prerequisites.",ISR,2018
Part C,Appropriate use,It is recommended that Israel take steps to ensure that the appropriate use condition is met ahead of the first exchanges of CbC reports.,ISR,2018
Part A,Domestic legal and administrative,-,ITA,2018
Part B,Exchange of information framework,-,ITA,2018
Part C,Appropriate use,-,ITA,2018
Part A,Domestic legal and administrative,"It is recommended that Jamaica finalize its steps to implement a legal and administrative framework to impose and enforce CbC requirements as soon as possible, taking into account its particular domestic legislative process.",JAM,2018
Part B,Exchange of information,"It is recommended that Jamaica take steps to complete its exchange of information framework that allows Automatic Exchange of Information and have QCAAs in effect with jurisdictions of the Inclusive Framework which meet the confidentiality, consistency and appropriate use prerequisites.",JAM,2018
Part C,Appropriate use,It is recommended that Jamaica take steps to ensure that the appropriate use condition is met.,JAM,2018
Part A,Domestic legal and,-,JPN,2018
Part B,Exchange of information,-,JPN,2018
Part C,Appropriate use,-,JPN,2018
Part A,Domestic legal and administrative framework,-,JEY,2018
Part B,Exchange of information framework,-,JEY,2018
Part C,Appropriate use,-,JEY,2018
Part A,Domestic legal and administrative,"Kazakhstan indicates that it has legislation in place to implement the BEPS Action 13 minimum standard. However, because the law was enacted on 25 December 2017, Kazakhstan was unable to provide a translation of the legislation in due course. Therefore, it was only possible to carry out a preliminary review for this first annual peer review process.",KAZ,2018
Part A,Domestic legal and,"It is recommended that Kenya take steps to implement a domestic legal and administrative framework to impose and enforce CbC requirements as soon as possible, taking into account its particular domestic legislative process.",KEN,2018
Part B,Exchange of information,"It is recommended that Kenya take steps to have the Convention in force as soon as possible, sign the CbC MCAA and have QCAAs in effect with jurisdictions of the Inclusive Framework which meet the confidentiality, consistency and appropriate use prerequisites.",KEN,2018
Part C,Appropriate use,It is recommended that Kenya take steps to ensure that the appropriate use condition is met ahead of the first exchanges of CbC reports.,KEN,2018
Part A,Domestic legal and administrative,-,KOR,2018
Part B,Exchange of information,-,KOR,2018
Part C,Appropriate use,-,KOR,2018
Part A,Domestic legal and administrative,It is recommended that Latvia amend or otherwise clarify that the annual consolidated group revenue threshold calculation rule applies without prejudice of the OECD guidance on currency fluctuations in respect of an MNE Group whose Ultimate Parent Entity is located in a jurisdiction other than Latvia.,LVA,2018
Part A,Domestic legal and administrative,It is recommended that Latvia implement a provision whereby a single Constituent Entity of the same MNE Group may be designated to file the CbC report which would satisfy the local filing requirement of all the Constituent Entities in Latvia.,LVA,2018
Part B,Exchange of information,-,LVA,2018
Part C,Appropriate use,It is recommended that Latvia take steps to ensure that the appropriate use condition is met ahead of the first exchanges of information.,LVA,2018
Part A,Domestic legal and administrative,"It is recommended that Liberia take steps to implement a domestic legal and administrative framework to impose and enforce CbC requirements as soon as possible, taking into account its particular domestic legislative process.",LBR,2018
Part B,Exchange of information,"It is recommended that Liberia take steps to put in place an EOI framework and have QCAAs in effect with jurisdictions of the Inclusive Framework which meet the confidentiality, consistency and appropriate use prerequisites.",LBR,2018
Part C,Appropriate use,It is recommended that Liberia take steps to ensure that the appropriate use condition is met ahead of the first exchanges of CbC reports.,LBR,2018
Part A,Domestic legal and,-,LIE,2018
Part B,Exchange of information,-,LIE,2018
Part C,Appropriate use,-,LIE,2018
Part A,Domestic legal and administrative framework,-,LTU,2018
Part B,Exchange of information – QCAAs in effect,-,LTU,2018
Part C,Appropriate use,-,LTU,2018
Part A,Domestic legal and,-,LUX,2018
Part B,Exchange of information,-,LUX,2018
Part C,Appropriate use,-,LUX,2018
Part A,Domestic legal and administrative,"It is recommended that Macau take steps to implement a domestic legal and administrative framework to impose and enforce CbC requirements as soon as possible, taking into account its particular domestic legislative process.",MAC,2018
Part B,Exchange of information,"It is recommended that Macau take steps to put in place an exchange of information framework that allows Automatic Exchange of Information and have QCAAs in effect with jurisdictions of the Inclusive Framework which meet the confidentiality, consistency and appropriate use prerequisites.",MAC,2018
Part C,Appropriate use,It is recommended that Macau take steps to ensure that the appropriate use condition is met ahead of the first exchanges of information.,MAC,2018
Part A,Domestic legal and administrative framework -,"It is recommended that Malaysia publish the detailed Guidelines as soon as possible containing instructions for the filing of CbC reports, prescribing all of, and only, the information as contained in the template in the Action 13 Report (Annex III to Chapter V of Transfer Pricing Documentation Country-by-Country Report) with regard to each jurisdiction in which the MNE Group operates.",MYS,2018
Part A,Domestic legal and administrative framework -,It is recommended that Malaysia introduce administrative mechanisms to enforce compliance by Ultimate Parent Entities with their filing obligations in the absence of a conviction for an offence.,MYS,2018
Part B,Exchange of information framework,-,MYS,2018
Part C,Appropriate use,It is recommended that Malaysia take steps to ensure that the appropriate use condition is met ahead of the first exchanges of CbC reports.,MYS,2018
Part A,Domestic legal and administrative,"It is recommended that Maldives finalise its domestic legal and administrative framework in relation to CbC requirements as soon as possible, taking into account its particular domestic legislative process.",MDV,2018
Part B,Exchange of information,"It is recommended that Maldives take steps to put in place an exchange of information framework that allows Automatic Exchange of Information and have QCAAs in effect with jurisdictions of the Inclusive Framework which meet the confidentiality, consistency and appropriate use prerequisites.",MDV,2018
Part C,Appropriate use,It is recommended that Maldives take steps to ensure that the appropriate use condition is met ahead of the first exchanges of CbC reports.,MDV,2018
Part A,Domestic legal and administrative framework,-,MLT,2018
Part B,Exchange of information framework,-,MLT,2018
Part C,Appropriate use,-,MLT,2018
Part A,Domestic legal and administrative,"It is recommended that Mauritius finalise its domestic legal and administrative framework to impose and enforce CbC requirements as soon as possible, taking into account its particular domestic legislative process.",MUS,2018
Part B,Exchange of information,-,MUS,2018
Part C,Appropriate use,It is recommended that Mauritius take steps to ensure that the appropriate use condition is met ahead of the first exchanges of information.,MUS,2018
Part A,Domestic legal and administrative framework,-,MEX,2018
Part B,Exchange of information framework,-,MEX,2018
Part C,Appropriate use,-,MEX,2018
Part A,Domestic legal and administrative,-,MCO,2018
Part B,Exchange of information,It is recommended that Monaco take further steps to have more Qualifying Competent Authority agreements in effect with jurisdictions of the Inclusive Framework that meet the confidentiality and consistency conditions.,MCO,2018
Part C,Appropriate use,It is recommended that Monaco take steps to ensure that the appropriate use condition is met ahead of the first exchanges of CbC reports.,MCO,2018
Part A,Domestic legal and administrative framework,-,NLD,2018
Part B,Exchange of information framework,-,NLD,2018
Part C,Appropriate use,-,NLD,2018
Part A,Domestic legal and administrative,-,NZL,2018
Part B,Exchange of information,-,NZL,2018
Part C,Appropriate use,-,NZL,2018
Part A,Domestic legal and administrative,-,NGA,2018
Part B,Exchange of information,"It is recommended that Nigeria to continue to take steps to have Qualifying Competent Authority agreements in effect with jurisdictions of the Inclusive Framework that meet the confidentiality, consistency and appropriate use conditions.",NGA,2018
Part C,Appropriate use,Nigeria is recommended to take steps to ensure that the appropriate use condition is met ahead of the first exchanges of CbC reports.,NGA,2018
Part A,Domestic legal and administrative,It is recommended that Norway take steps to ensure that local filing can only be required in circumstances permitted in the terms of reference.,NOR,2018
Part B,Exchange of information framework,-,NOR,2018
Part C,Appropriate use,-,NOR,2018
Part A,Domestic legal and administrative,-,PAK,2018
Part B,Exchange of information,"It is recommended that Pakistan take steps to enable exchanges in respect of the first fiscal year and have QCAAs in effect with jurisdictions of the Inclusive Framework which meet the confidentiality, consistency and appropriate use prerequisites.",PAK,2018
Part C,Appropriate use,It is recommended that Pakistan take steps to ensure that the appropriate use condition is met ahead of the first exchanges of CbC reports.,PAK,2018
Part A,Domestic legal and administrative,It is recommended that Panama take steps to implement a domestic legal and administrative framework to impose and enforce CbC requirements as soon as possible.,PAN,2018
Part B,Exchange of information,"It is recommended that Panama take steps to put in place a domestic, legal basis for the exchange of information as soon as possible, taking into account its legislative process, enable exchanges of CbC reports relating to the fiscal years for which the reporting requirements will apply and have QCAAs in effect with jurisdictions of the Inclusive Framework which meet the confidentiality, consistency and appropriate use prerequisites.",PAN,2018
Part C,Appropriate use,It is recommended that Panama take steps to ensure that the appropriate use condition is met ahead of the first exchanges of information.,PAN,2018
Part A,Domestic legal and administrative,"It is recommended that Paraguay take steps to implement a domestic legal and administrative framework to impose and enforce CbC requirements as soon as possible, taking into account its particular domestic legislative process.",PRY,2018
Part B,Exchange of information,"It is recommended that Paraguay take steps to put in place an exchange of information framework that allows Automatic Exchange of Information and have QCAAs in effect with jurisdictions of the Inclusive Framework which meet the confidentiality, consistency and appropriate use prerequisites.",PRY,2018
Part C,Appropriate use,It is recommended that Paraguay take steps to ensure that the appropriate use condition is met ahead of the first exchanges of CbC reports.,PRY,2018
Part A,Domestic legal and administrative,-,PER,2018
Part B,Exchange of information – EOI,"Against the backdrop of the still evolving exchange of information framework, at this point in time, it is recommended that Peru take steps to enable exchanges of CbC reports relating to the fiscal year 2017 and have QCAAs in effect with jurisdictions of the Inclusive Framework which meet the confidentiality, consistency and appropriate use prerequisites.",PER,2018
Part C,Appropriate use,Peru is recommended to take steps to ensure that the appropriate use condition is met ahead of the first exchanges of CbC reports. It is however noted that Peru will not be exchanging CbC reports in 2018.,PER,2018
Part A,Domestic legal and administrative,It is recommended that Poland clarify that the annual consolidated group revenue threshold calculation rule applies without prejudice of the OECD guidance on currency fluctuations in respect of an MNE Group whose Ultimate Parent Entity is located in a jurisdiction other than Poland.,POL,2018
Part A,Domestic legal and administrative,It is recommended that Poland clarify the treatment of permanent establishments in the definition of “accumulated earnings”. “accumulated earnings”,POL,2018
Part B,Exchange of information,-,POL,2018
Part C,Appropriate use,It is recommended that Poland take steps to ensure that the appropriate use condition is met ahead of the first exchanges of information.,POL,2018
Part A,Domestic legal and administrative,-,PRT,2018
Part B,Exchange of information,-,PRT,2018
Part C,Appropriate use,-,PRT,2018
Part A,Domestic legal and administrative,It is recommended that Qatar publish the instructions relating to the format of a CbC report (in the situation where CbC requirements would apply for fiscal years starting on 1 January 2016). report,QAT,2018
Part A,Domestic legal and administrative,It is recommended that Qatar prorogue the local filing requirements (in the situation where CbC requirements would apply for fiscal years starting on 1 January 2016). filing,QAT,2018
Part A,Domestic legal and administrative,It is recommended that Qatar introduce penalties to enforce compliance with the minimum standards. implementation – penalties,QAT,2018
